Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Mac Jones,NWE,1,1,1.0,2022,9
Damien Harris,NWE,0,0,1.0,2022,9
Rhamondre Stevenson,NWE,0,0,1.0,2022,9
Jakobi Meyers,NWE,0,0,1.0,2022,9
Kendrick Bourne,NWE,0,0,1.0,2022,9
Jonnu Smith,NWE,0,0,1.0,2022,9
Nelson Agholor,NWE,1,1,1.0,2022,9
Hunter Henry,NWE,0,0,1.0,2022,9
DeVante Parker,NWE,0,0,1.0,2022,9
Ty Montgomery,NWE,0,0,1.0,2022,9
Tua Tagovailoa,MIA,1,0,1.0,2022,9
Chase Edmonds,MIA,0,0,1.0,2022,9
Raheem Mostert,MIA,0,0,1.0,2022,9
Jaylen Waddle,MIA,0,0,1.0,2022,9
Cedrick Wilson Jr.,MIA,0,0,1.0,2022,9
Tyreek Hill,MIA,1,0,1.0,2022,9
Alec Ingold,MIA,0,0,1.0,2022,9
Durham Smythe,MIA,0,0,1.0,2022,9
Trent Sherfield,MIA,0,0,1.0,2022,9
Mike Gesicki,MIA,0,0,1.0,2022,9
