Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Eric Stokes,GNB,0,4,4,100.0%,54.0,13.5,13.5,1.0,158.3,9.5,38.0,16.0,0,0,0,0.0,0,5,0,0.0%,1.0,2022,12
Jaire Alexander,GNB,0,5,3,60.0%,20.0,6.7,4.0,0.0,68.7,3.4,4.0,16.0,0,0,0,0.0,0,5,1,16.7%,1.0,2022,12
Quay Walker,GNB,0,4,3,75.0%,31.0,10.3,7.8,0.0,96.9,3.0,9.0,22.0,0,0,0,0.0,0,8,1,11.1%,1.0,2022,12
Rasul Douglas,GNB,0,3,3,100.0%,11.0,3.7,3.7,0.0,81.9,0.3,1.0,10.0,0,0,0,0.0,0,4,0,0.0%,1.0,2022,12
Adrian Amos,GNB,0,3,2,66.7%,70.0,35.0,23.3,0.0,109.7,12.3,32.0,38.0,0,0,0,0.0,0,3,1,25.0%,1.0,2022,12
De'Vondre Campbell,GNB,0,5,2,40.0%,10.0,5.0,2.0,0.0,47.9,0.4,-4.0,14.0,0,0,0,0.0,0,11,2,15.4%,1.0,2022,12
Darnell Savage Jr.,GNB,0,2,2,100.0%,21.0,10.5,10.5,0.0,110.4,15.5,21.0,0.0,0,0,0,0.0,0,2,0,0.0%,1.0,2022,12
Preston Smith,GNB,0,1,1,100.0%,5.0,5.0,5.0,0.0,87.5,4.0,4.0,1.0,2,1,2,0.0,3,3,1,25.0%,1.0,2022,12
Jarran Reed,GNB,0,1,1,100.0%,10.0,10.0,10.0,0.0,108.3,-5.0,-5.0,15.0,0,1,0,0.0,1,4,0,0.0%,1.0,2022,12
Kingsley Enagbare,GNB,0,1,1,100.0%,5.0,5.0,5.0,0.0,87.5,5.0,5.0,0.0,0,0,0,0.0,0,2,0,0.0%,1.0,2022,12
Keisean Nixon,GNB,0,1,1,100.0%,4.0,4.0,4.0,0.0,83.3,3.0,3.0,1.0,0,0,0,0.0,0,1,0,0.0%,1.0,2022,12
Kenny Clark,GNB,0,0,0,,,,,,,,,,0,1,2,0.0,3,4,0,0.0%,1.0,2022,12
Rashan Gary,GNB,0,0,0,,,,,,,,,,5,0,1,1.0,2,7,0,0.0%,1.0,2022,12
Dean Lowry,GNB,0,0,0,,,,,,,,,,0,0,2,0.0,2,3,0,0.0%,1.0,2022,12
Tedarrell Slaton,GNB,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%,1.0,2022,12
Krys Barnes,GNB,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%,1.0,2022,12
Jordan Hicks,MIN,0,8,8,100.0%,87.0,10.9,10.9,0.0,112.0,3.0,24.0,63.0,0,0,0,1.0,1,14,2,12.5%,1.0,2022,12
Patrick Peterson,MIN,0,8,5,62.5%,40.0,8.0,5.0,0.0,75.0,5.8,6.0,34.0,0,0,0,0.0,0,6,0,0.0%,1.0,2022,12
Cameron Dantzler,MIN,0,5,4,80.0%,26.0,6.5,5.2,0.0,88.3,6.0,13.0,13.0,0,0,0,0.0,0,5,1,16.7%,1.0,2022,12
Eric Kendricks,MIN,0,6,3,50.0%,40.0,13.3,6.7,0.0,71.5,2.8,-1.0,41.0,1,1,0,0.0,1,4,0,0.0%,1.0,2022,12
Harrison Phillips,MIN,0,1,1,100.0%,0.0,0.0,0.0,0.0,79.2,-3.0,-3.0,3.0,0,2,0,0.0,2,3,0,0.0%,1.0,2022,12
Harrison Smith,MIN,1,2,1,50.0%,15.0,15.0,7.5,0.0,35.4,29.0,13.0,2.0,0,0,0,0.0,0,7,1,12.5%,1.0,2022,12
Akayleb Evans,MIN,0,1,1,100.0%,9.0,9.0,9.0,0.0,104.2,9.0,9.0,0.0,0,0,0,0.0,0,1,0,0.0%,1.0,2022,12
Camryn Bynum,MIN,0,1,1,100.0%,23.0,23.0,23.0,0.0,118.7,18.0,18.0,5.0,0,0,0,0.0,0,7,0,0.0%,1.0,2022,12
Chandon Sullivan,MIN,0,2,1,50.0%,8.0,8.0,4.0,0.0,60.4,3.5,7.0,1.0,0,0,0,0.0,0,4,0,0.0%,1.0,2022,12
Ross Blacklock,MIN,0,1,1,100.0%,12.0,12.0,12.0,0.0,116.7,4.0,4.0,8.0,0,0,0,0.0,0,0,0,,1.0,2022,12
Danielle Hunter,MIN,0,0,0,,,,,,,,,,0,1,0,1.0,2,3,0,0.0%,1.0,2022,12
Za'Darius Smith,MIN,0,0,0,,,,,,,,,,5,0,1,1.0,2,2,0,0.0%,1.0,2022,12
Patrick Jones II,MIN,0,0,0,,,,,,,,,,2,1,0,0.0,1,0,0,,1.0,2022,12
Dalvin Tomlinson,MIN,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%,1.0,2022,12
D.J. Wonnum,MIN,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%,1.0,2022,12
