#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,NYG 22,3,2:12,9,Punt,0,Giants,1.0,2022,13
2,1,9:48,NYG 25,6,3:38,16,Punt,0,Giants,1.0,2022,13
3,1,4:30,NYG 40,3,2:21,6,Punt,0,Giants,1.0,2022,13
4,2,12:35,NYG 25,6,2:35,19,Fumble,0,Giants,1.0,2022,13
5,2,6:57,NYG 17,5,2:54,21,Punt,0,Giants,1.0,2022,13
6,2,0:59,NYG 9,4,0:59,45,End of Half,0,Giants,1.0,2022,13
7,3,12:45,NYG 10,4,1:29,90,Touchdown,0,Giants,1.0,2022,13
8,3,9:28,NYG 36,2,0:40,64,Touchdown,0,Giants,1.0,2022,13
9,3,2:54,NYG 25,3,2:12,3,Punt,0,Giants,1.0,2022,13
10,4,14:23,NYG 15,7,3:55,30,Punt,0,Giants,1.0,2022,13
11,4,10:28,TEN 11,3,1:38,3,Interception,0,Giants,1.0,2022,13
12,4,5:27,NYG 27,12,4:21,73,Touchdown,0,Giants,1.0,2022,13
