Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Trevor Lawrence,JAX,4,26,0,18,10.0,2022,144
Travis Etienne,JAX,11,45,0,10,10.0,2022,144
Jamycal Hasty,JAX,1,4,0,4,10.0,2022,144
Christian Kirk,JAX,0,0,0,0,10.0,2022,144
Zay Jones,JAX,0,0,0,0,10.0,2022,144
Marvin Jones,JAX,0,0,0,0,10.0,2022,144
Evan Engram,JAX,0,0,0,0,10.0,2022,144
Dan Arnold,JAX,0,0,0,0,10.0,2022,144
Jamal Agnew,JAX,0,0,0,0,10.0,2022,144
Patrick Mahomes,KAN,7,39,0,19,10.0,2022,144
Isiah Pacheco,KAN,16,82,0,13,10.0,2022,144
Kadarius Toney,KAN,2,33,0,32,10.0,2022,144
Jerick McKinnon,KAN,1,2,0,2,10.0,2022,144
Travis Kelce,KAN,0,0,0,0,10.0,2022,144
Marquez Valdes-Scantling,KAN,0,0,0,0,10.0,2022,144
JuJu Smith-Schuster,KAN,0,0,0,0,10.0,2022,144
Noah Gray,KAN,0,0,0,0,10.0,2022,144
Justin Watson,KAN,0,0,0,0,10.0,2022,144
Jody Fortson,KAN,0,0,0,0,10.0,2022,144
Skyy Moore,KAN,0,0,0,0,10.0,2022,144
Clyde Edwards-Helaire,KAN,0,0,0,0,10.0,2022,144
Michael Burton,KAN,1,-1,0,-1,10.0,2022,144
