Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Andy Dalton,NOR,3,1,0,1,10.0,2022,145
Taysom Hill,NOR,3,1,0,1,10.0,2022,145
Alvin Kamara,NOR,8,26,0,14,10.0,2022,145
Jordan Howard,NOR,1,1,0,1,10.0,2022,145
Juwan Johnson,NOR,0,0,0,0,10.0,2022,145
Chris Olave,NOR,0,0,0,0,10.0,2022,145
Jarvis Landry,NOR,0,0,0,0,10.0,2022,145
Adam Trautman,NOR,0,0,0,0,10.0,2022,145
Rashid Shaheed,NOR,0,0,0,0,10.0,2022,145
Kevin White,NOR,0,0,0,0,10.0,2022,145
Kenny Pickett,PIT,8,51,1,23,10.0,2022,145
Najee Harris,PIT,20,99,0,36,10.0,2022,145
Jaylen Warren,PIT,9,37,0,21,10.0,2022,145
George Pickens,PIT,2,23,1,22,10.0,2022,145
Derek Watt,PIT,2,5,0,3,10.0,2022,145
Steven Sims,PIT,2,2,0,3,10.0,2022,145
Diontae Johnson,PIT,0,0,0,0,10.0,2022,145
Pat Freiermuth,PIT,0,0,0,0,10.0,2022,145
Connor Heyward,PIT,0,0,0,0,10.0,2022,145
Gunner Olszewski,PIT,0,0,0,0,10.0,2022,145
Zach Gentry,PIT,0,0,0,0,10.0,2022,145
