Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Amon-Ra St. Brown,DET,11,10,119,0,8.0,42,4.2,77,7.7,5.0,1,10.0,0,0.0,0,111.7,10.0,2022,143
Kalif Raymond,DET,3,3,47,0,2.0,30,10.0,17,5.7,10.0,0,,0,0.0,0,118.7,10.0,2022,143
Justin Jackson,DET,3,2,14,0,0.0,5,2.5,9,4.5,0.7,0,,0,0.0,0,77.1,10.0,2022,143
Tom Kennedy,DET,2,1,44,0,1.0,13,13.0,31,31.0,10.5,0,,0,0.0,0,95.8,10.0,2022,143
James Mitchell,DET,1,1,4,0,,4,4.0,0,0.0,4.0,0,,0,0.0,0,83.3,10.0,2022,143
D'Andre Swift,DET,3,1,6,0,0.0,-6,-6.0,12,12.0,-1.0,0,,0,0.0,0,42.4,10.0,2022,143
Brock Wright,DET,1,1,2,1,1.0,2,2.0,0,0.0,2.0,0,,0,0.0,0,118.7,10.0,2022,143
Shane Zylstra,DET,1,0,0,0,,0,,0,,18.0,0,,0,0.0,0,39.6,10.0,2022,143
Cole Kmet,CHI,7,4,74,2,2.0,41,10.3,33,8.3,11.3,1,4.0,0,0.0,1,93.7,10.0,2022,143
Darnell Mooney,CHI,4,4,57,0,3.0,39,9.8,18,4.5,9.8,1,4.0,0,0.0,0,118.7,10.0,2022,143
Chase Claypool,CHI,2,1,8,0,,-4,-4.0,12,12.0,9.5,0,,0,0.0,0,60.4,10.0,2022,143
David Montgomery,CHI,1,1,7,0,0.0,5,5.0,2,2.0,5.0,0,,0,0.0,0,95.8,10.0,2022,143
Dante Pettis,CHI,1,1,9,0,0.0,9,9.0,0,0.0,9.0,0,,0,0.0,0,104.2,10.0,2022,143
Byron Pringle,CHI,2,1,12,0,1.0,12,12.0,0,0.0,13.0,0,,0,0.0,0,68.7,10.0,2022,143
Trevon Wesco,CHI,1,0,0,0,,0,,0,,7.0,0,,0,0.0,0,39.6,10.0,2022,143
