Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Colt McCoy,ARI,1,0,10.0,2022,148
James Conner,ARI,0,0,10.0,2022,148
Keaontay Ingram,ARI,0,0,10.0,2022,148
DeAndre Hopkins,ARI,0,0,10.0,2022,148
Rondale Moore,ARI,0,0,10.0,2022,148
Zach Ertz,ARI,0,0,10.0,2022,148
A.J. Green,ARI,0,0,10.0,2022,148
Trey McBride,ARI,1,0,10.0,2022,148
Stephen Anderson,ARI,0,0,10.0,2022,148
John Wolford,LAR,2,1,10.0,2022,148
Bryce Perkins,LAR,0,0,10.0,2022,148
Cam Akers,LAR,0,0,10.0,2022,148
Darrell Henderson,LAR,0,0,10.0,2022,148
Kyren Williams,LAR,0,0,10.0,2022,148
Brandon Powell,LAR,0,0,10.0,2022,148
Tyler Higbee,LAR,0,0,10.0,2022,148
Allen Robinson,LAR,0,0,10.0,2022,148
Van Jefferson,LAR,0,0,10.0,2022,148
Ben Skowronek,LAR,0,0,10.0,2022,148
Brycen Hopkins,LAR,0,0,10.0,2022,148
Cooper Kupp,LAR,0,0,10.0,2022,148
