Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Taylor Heinicke,WAS,5,10,0,7,10.0,2022,150
Brian Robinson Jr.,WAS,26,86,1,11,10.0,2022,150
Antonio Gibson,WAS,14,44,1,7,10.0,2022,150
Curtis Samuel,WAS,4,12,0,6,10.0,2022,150
Terry McLaurin,WAS,0,0,0,0,10.0,2022,150
Dyami Brown,WAS,0,0,0,0,10.0,2022,150
Jahan Dotson,WAS,0,0,0,0,10.0,2022,150
Logan Thomas,WAS,0,0,0,0,10.0,2022,150
Cam Sims,WAS,0,0,0,0,10.0,2022,150
Jalen Hurts,PHI,6,28,1,12,10.0,2022,150
Miles Sanders,PHI,12,54,0,8,10.0,2022,150
Kenneth Gainwell,PHI,1,7,0,7,10.0,2022,150
Boston Scott,PHI,1,5,0,5,10.0,2022,150
Quez Watkins,PHI,0,0,0,0,10.0,2022,150
DeVonta Smith,PHI,0,0,0,0,10.0,2022,150
Dallas Goedert,PHI,0,0,0,0,10.0,2022,150
Jack Stoll,PHI,0,0,0,0,10.0,2022,150
Zach Pascal,PHI,0,0,0,0,10.0,2022,150
A.J. Brown,PHI,0,0,0,0,10.0,2022,150
