Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Kareem Jackson,DEN,0,8,6,75.0%,150.0,25.0,18.8,2.0,156.2,12.4,74.0,76.0,0,0,0,0.0,0,5,2,28.6%,10.0,2022,141
Alex Singleton,DEN,0,5,3,60.0%,22.0,7.3,4.4,0.0,70.4,3.6,10.0,12.0,1,0,0,0.0,0,8,0,0.0%,10.0,2022,141
K'Waun Williams,DEN,0,6,2,33.3%,24.0,12.0,4.0,0.0,46.5,3.2,14.0,10.0,4,0,1,0.0,1,1,1,50.0%,10.0,2022,141
Essang Bassey,DEN,0,3,2,66.7%,21.0,10.5,7.0,0.0,86.8,8.7,20.0,1.0,0,0,0,0.0,0,4,0,0.0%,10.0,2022,141
P.J. Locke,DEN,0,4,2,50.0%,7.0,3.5,1.8,0.0,56.2,5.5,1.0,6.0,0,0,0,0.0,0,3,0,0.0%,10.0,2022,141
Patrick Surtain II,DEN,0,3,1,33.3%,6.0,6.0,2.0,0.0,42.4,5.0,5.0,1.0,0,0,0,0.0,0,3,0,0.0%,10.0,2022,141
Damarri Mathis,DEN,0,3,1,33.3%,4.0,4.0,1.3,0.0,42.4,10.3,4.0,0.0,1,0,0,0.0,0,2,0,0.0%,10.0,2022,141
D.J. Jones,DEN,0,1,1,100.0%,6.0,6.0,6.0,0.0,91.7,-4.0,-4.0,10.0,0,0,0,0.0,0,3,0,0.0%,10.0,2022,141
Josey Jewell,DEN,0,2,1,50.0%,15.0,15.0,7.5,0.0,75.0,2.0,3.0,12.0,6,0,0,0.0,0,10,0,0.0%,10.0,2022,141
Dre'Mont Jones,DEN,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%,10.0,2022,141
Jacob Martin,DEN,0,0,0,,,,,,,,,,0,0,0,1.0,1,1,0,0.0%,10.0,2022,141
Jonathan Harris,DEN,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,0,0.0%,10.0,2022,141
Nik Bonitto,DEN,0,1,0,0.0%,,,0.0,,39.6,17.0,,,0,0,0,0.0,0,2,0,0.0%,10.0,2022,141
Terrance Mitchell,TEN,1,16,7,43.8%,114.0,16.3,7.1,1.0,63.0,8.6,51.0,63.0,0,0,0,0.0,0,8,1,11.1%,10.0,2022,141
Roger McCreary,TEN,0,5,4,80.0%,45.0,11.3,9.0,0.0,104.2,6.2,27.0,18.0,1,0,0,0.0,0,5,1,16.7%,10.0,2022,141
Andrew Adams,TEN,0,6,3,50.0%,20.0,6.7,3.3,0.0,57.6,12.3,-9.0,29.0,0,0,1,0.0,1,7,0,0.0%,10.0,2022,141
Monty Rice,TEN,0,3,2,66.7%,20.0,10.0,6.7,0.0,85.4,8.7,9.0,11.0,0,0,0,0.0,0,7,0,0.0%,10.0,2022,141
Dylan Cole,TEN,0,1,1,100.0%,17.0,17.0,17.0,0.0,118.7,3.0,3.0,14.0,0,0,0,1.0,1,5,0,0.0%,10.0,2022,141
Elijah Molden,TEN,0,2,1,50.0%,9.0,9.0,4.5,0.0,62.5,14.0,2.0,7.0,1,0,1,0.0,1,3,0,0.0%,10.0,2022,141
Lonnie Johnson Jr.,TEN,0,1,1,100.0%,35.0,35.0,35.0,0.0,118.7,22.0,22.0,13.0,0,0,0,0.0,0,0,1,100.0%,10.0,2022,141
David Long,TEN,0,3,1,33.3%,9.0,9.0,3.0,0.0,42.4,4.7,2.0,7.0,0,0,0,0.0,0,7,1,12.5%,10.0,2022,141
Kevin Byard,TEN,0,3,1,33.3%,17.0,17.0,5.7,0.0,53.5,6.3,2.0,15.0,0,0,0,0.0,0,3,0,0.0%,10.0,2022,141
Rashad Weaver,TEN,0,0,0,,,,,,,,,,0,0,3,1.5,5,2,0,0.0%,10.0,2022,141
Mario Edwards,TEN,0,0,0,,,,,,,,,,0,1,3,1.0,5,4,0,0.0%,10.0,2022,141
DeMarcus Walker,TEN,0,0,0,,,,,,,,,,0,0,1,1.5,3,3,0,0.0%,10.0,2022,141
Denico Autry,TEN,0,0,0,,,,,,,,,,0,0,2,0.0,2,2,0,0.0%,10.0,2022,141
Teair Tart,TEN,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%,10.0,2022,141
Naquan Jones,TEN,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%,10.0,2022,141
Joshua Kalu,TEN,0,2,0,0.0%,,,0.0,,39.6,40.0,,,1,0,0,0.0,0,0,0,,10.0,2022,141
Aaron Brewer,TEN,0,1,0,0.0%,,,0.0,,39.6,,,,0,0,0,0.0,0,0,0,,10.0,2022,141
