Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Baker Mayfield,CAR,0,0,11.0,2022,157
D'Onta Foreman,CAR,0,0,11.0,2022,157
Terrace Marshall Jr.,CAR,0,0,11.0,2022,157
Shi Smith,CAR,2,1,11.0,2022,157
Chuba Hubbard,CAR,0,0,11.0,2022,157
Ian Thomas,CAR,0,0,11.0,2022,157
D.J. Moore,CAR,0,0,11.0,2022,157
Raheem Blackshear,CAR,0,0,11.0,2022,157
Laviska Shenault Jr.,CAR,0,0,11.0,2022,157
Lamar Jackson,BAL,0,0,11.0,2022,157
Kenyan Drake,BAL,0,0,11.0,2022,157
Justice Hill,BAL,0,0,11.0,2022,157
Devin Duvernay,BAL,0,0,11.0,2022,157
Patrick Ricard,BAL,0,0,11.0,2022,157
Demarcus Robinson,BAL,0,0,11.0,2022,157
Mark Andrews,BAL,0,0,11.0,2022,157
Josh Oliver,BAL,0,0,11.0,2022,157
Isaiah Likely,BAL,0,0,11.0,2022,157
James Proche,BAL,0,0,11.0,2022,157
Mike Davis,BAL,0,0,11.0,2022,157
