#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,CLE 25,9,5:58,75,Touchdown,0,Browns,11.0,2022,152
2,1,7:25,CLE 11,3,2:09,5,Punt,0,Browns,11.0,2022,152
3,1,3:32,CLE 35,9,4:27,51,Field Goal,0,Browns,11.0,2022,152
4,2,11:49,CLE 10,8,3:32,42,Fumble,0,Browns,11.0,2022,152
5,2,4:54,CLE 25,6,3:00,25,Punt,0,Browns,11.0,2022,152
6,2,0:14,CLE 25,1,0:14,-1,End of Half,0,Browns,11.0,2022,152
7,3,9:42,CLE 25,8,3:53,48,Downs,0,Browns,11.0,2022,152
8,3,4:08,CLE 25,6,2:31,59,Missed FG,0,Browns,11.0,2022,152
9,4,13:20,CLE 25,3,1:27,-7,Punt,0,Browns,11.0,2022,152
10,4,6:45,CLE 25,9,2:34,75,Touchdown,0,Browns,11.0,2022,152
11,4,1:56,CLE 25,8,1:37,75,Touchdown,0,Browns,11.0,2022,152
