Quarter,Time,Down,ToGo,Location,PHI,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Colts to receive the opening kickoff.",,,11.0,2022,158
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,158
1.0,15:00,1.0,10.0,IND 25,0.0,0.0,Jonathan Taylor up the middle for 3 yards (tackle by T.J. Edwards and Linval Joseph),0.61,0.47,11.0,2022,158
1.0,14:23,2.0,7.0,IND 28,0.0,0.0,Matt Ryan pass complete short left to Michael Pittman for 1 yard (tackle by James Bradberry),0.47,-0.1,11.0,2022,158
1.0,13:46,3.0,6.0,IND 29,0.0,0.0,Matt Ryan pass complete short middle to Michael Pittman for 24 yards (tackle by C.J. Gardner-Johnson),-0.1,2.46,11.0,2022,158
1.0,13:18,1.0,10.0,PHI 47,0.0,0.0,Jonathan Taylor up the middle for 28 yards (tackle by Darius Slay),2.46,4.31,11.0,2022,158
1.0,12:46,1.0,10.0,PHI 19,0.0,0.0,Jonathan Taylor up the middle for 9 yards (tackle by T.J. Edwards and Kyzir White),4.31,5.36,11.0,2022,158
1.0,12:10,2.0,1.0,PHI 10,0.0,0.0,Jonathan Taylor right tackle for no gain (tackle by Josh Sweat),5.36,4.69,11.0,2022,158
1.0,11:27,,,,,,Timeout #1 by Indianapolis Colts,,,11.0,2022,158
1.0,11:27,3.0,1.0,PHI 10,0.0,0.0,Matt Ryan up the middle for 1 yard (tackle by T.J. Edwards),4.69,5.14,11.0,2022,158
1.0,10:52,1.0,9.0,PHI 9,0.0,0.0,Jonathan Taylor up the middle for 6 yards (tackle by C.J. Gardner-Johnson and Marcus Epps),5.14,5.53,11.0,2022,158
1.0,10:18,2.0,3.0,PHI 3,0.0,0.0,Jonathan Taylor left tackle for 2 yards (tackle by C.J. Gardner-Johnson),5.53,5.17,11.0,2022,158
1.0,9:40,3.0,1.0,PHI 1,0.0,6.0,"Jonathan Taylor left guard for 1 yard, touchdown",5.17,7.0,11.0,2022,158
1.0,9:37,,,PHI 15,0.0,7.0,Chase McLaughlin kicks extra point good,0.0,0.0,11.0,2022,158
1.0,9:37,,,IND 35,0.0,7.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,158
1.0,9:37,1.0,10.0,PHI 25,0.0,7.0,Jalen Hurts pass complete short left to A.J. Brown for 14 yards (tackle by Zaire Franklin and Rodney McLeod),0.61,1.53,11.0,2022,158
1.0,8:57,1.0,10.0,PHI 39,0.0,7.0,Miles Sanders left tackle for 5 yards (tackle by Zaire Franklin and Rodney McLeod),1.53,1.66,11.0,2022,158
1.0,8:19,2.0,5.0,PHI 44,0.0,7.0,Jalen Hurts pass complete short right to A.J. Brown for 3 yards (tackle by Bobby Okereke),1.66,1.36,11.0,2022,158
1.0,7:36,3.0,2.0,PHI 47,0.0,7.0,"Miles Sanders right tackle for no gain (tackle by Stephon Gilmore). Penalty on Grant Calcaterra: Offensive Holding, 10 yards (accepted) (no play)",1.36,0.04,11.0,2022,158
1.0,7:04,3.0,12.0,PHI 37,0.0,7.0,Jalen Hurts pass incomplete short middle intended for DeVonta Smith (defended by Rodney McLeod),0.04,-0.91,11.0,2022,158
1.0,6:59,4.0,12.0,PHI 37,0.0,7.0,"Arryn Siposs punts 45 yards, recovered by Keke Coutee at IND-20, returned by Keke Coutee for 8 yards (tackle by Jack Stoll and Shaun Bradley)",-0.91,-0.81,11.0,2022,158
1.0,6:48,1.0,10.0,IND 28,0.0,7.0,Matt Ryan pass complete short right to Jonathan Taylor for -4 yards (tackle by T.J. Edwards),0.81,-0.28,11.0,2022,158
1.0,6:11,2.0,14.0,IND 24,0.0,7.0,Matt Ryan pass complete short right to Michael Pittman for 13 yards (tackle by C.J. Gardner-Johnson),-0.28,0.76,11.0,2022,158
1.0,5:34,3.0,1.0,IND 37,0.0,7.0,Matt Ryan pass incomplete short right intended for Michael Pittman (defended by Josiah Scott),0.76,-0.91,11.0,2022,158
1.0,5:30,4.0,1.0,IND 37,0.0,7.0,"Matt Haack punts 47 yards, fair catch by Britain Covey at PHI-16",-0.91,0.14,11.0,2022,158
1.0,5:22,1.0,10.0,PHI 16,0.0,7.0,Jalen Hurts pass complete short right to A.J. Brown for 29 yards (tackle by Isaiah Rodgers),-0.14,1.93,11.0,2022,158
1.0,4:52,1.0,10.0,PHI 45,0.0,7.0,Jalen Hurts right tackle for 9 yards (tackle by Zaire Franklin),1.93,2.6,11.0,2022,158
1.0,4:28,2.0,1.0,IND 46,0.0,7.0,Jalen Hurts pass complete short right to DeVonta Smith for 12 yards (tackle by Isaiah Rodgers),2.6,3.31,11.0,2022,158
1.0,3:56,1.0,10.0,IND 34,0.0,7.0,"Jalen Hurts pass complete to Jack Stoll for no gain (tackle by Isaiah Rodgers). Penalty on Jason Kelce: Ineligible Downfield Pass, 6 yards (accepted) (no play)",3.31,2.92,11.0,2022,158
1.0,3:30,1.0,15.0,IND 40,0.0,7.0,"Jalen Hurts scrambles for no gain (tackle by Zaire Franklin). Penalty on Landon Dickerson: Offensive Holding, 9 yards (accepted) (no play)",2.92,2.32,11.0,2022,158
1.0,2:45,1.0,25.0,IND 49,0.0,7.0,"Jalen Hurts pass complete to A.J. Brown for 18 yards (tackle by Julian Blackmon). Penalty on Tyree Jackson: Offensive Pass Interference, 10 yards (accepted) (no play)",2.32,1.66,11.0,2022,158
1.0,2:24,1.0,35.0,PHI 41,0.0,7.0,Jalen Hurts pass complete short left to Jack Stoll for 7 yards (tackle by Kenny Moore),1.66,0.34,11.0,2022,158
1.0,1:39,2.0,28.0,PHI 48,0.0,7.0,Jalen Hurts pass complete deep left to DeVonta Smith for 17 yards (tackle by Kenny Moore),0.34,1.95,11.0,2022,158
1.0,0:55,3.0,11.0,IND 35,0.0,7.0,Jalen Hurts sacked by and Zaire Franklin for -6 yards and Yannick Ngakoue for -6 yards,1.95,0.53,11.0,2022,158
1.0,0:18,4.0,17.0,IND 41,0.0,7.0,"Arryn Siposs punts 31 yards, fair catch by Keke Coutee at IND-10",0.53,0.38,11.0,2022,158
1.0,0:10,1.0,10.0,IND 10,0.0,7.0,Jonathan Taylor up the middle for no gain (tackle by Kyzir White and Ndamukong Suh),-0.38,-0.78,11.0,2022,158
2.0,15:00,2.0,10.0,IND 10,0.0,7.0,Jonathan Taylor left tackle for 11 yards (tackle by C.J. Gardner-Johnson),-0.78,0.34,11.0,2022,158
2.0,14:22,1.0,10.0,IND 21,0.0,7.0,Jonathan Taylor left tackle for 3 yards (tackle by Milton Williams and Linval Joseph),0.34,0.21,11.0,2022,158
2.0,13:45,2.0,7.0,IND 24,0.0,7.0,"Jonathan Taylor for no gain. Penalty on Bernhard Raimann: Offensive Holding, 10 yards (accepted) (no play)",0.21,-1.25,11.0,2022,158
2.0,13:14,2.0,17.0,IND 14,0.0,7.0,Matt Ryan pass complete short middle to Parris Campbell for 6 yards (tackle by C.J. Gardner-Johnson),-1.25,-1.02,11.0,2022,158
2.0,12:43,3.0,11.0,IND 20,0.0,7.0,Matt Ryan pass complete short left to Deon Jackson for 1 yard (tackle by James Bradberry),-1.02,-1.96,11.0,2022,158
2.0,12:08,4.0,10.0,IND 21,0.0,7.0,"Matt Haack punts 50 yards, returned by Britain Covey for 13 yards (tackle by Ashton Dulin)",-1.96,-1.73,11.0,2022,158
2.0,11:58,1.0,10.0,PHI 42,0.0,7.0,Miles Sanders left tackle for 3 yards (tackle by Zaire Franklin and Bobby Okereke),1.73,1.59,11.0,2022,158
2.0,11:23,2.0,7.0,PHI 45,0.0,7.0,Jalen Hurts pass complete short right to DeVonta Smith for 6 yards (tackle by Stephon Gilmore and Zaire Franklin),1.59,1.69,11.0,2022,158
2.0,10:56,3.0,1.0,IND 49,0.0,7.0,Jalen Hurts up the middle for 2 yards (tackle by Ifeadi Odenigbo),1.69,2.46,11.0,2022,158
2.0,10:19,1.0,10.0,IND 47,0.0,7.0,Jalen Hurts pass incomplete deep right intended for DeVonta Smith (defended by Brandon Facyson),2.46,1.91,11.0,2022,158
2.0,10:12,2.0,10.0,IND 47,0.0,7.0,Jalen Hurts pass complete short left to Boston Scott for 5 yards (tackle by Dayo Odeyingbo),1.91,1.88,11.0,2022,158
2.0,9:32,3.0,5.0,IND 42,0.0,7.0,Jalen Hurts left tackle for 7 yards (tackle by DeForest Buckner),1.88,3.25,11.0,2022,158
2.0,8:52,1.0,10.0,IND 35,0.0,7.0,Miles Sanders left tackle for 10 yards (tackle by Kenny Moore),3.25,3.91,11.0,2022,158
2.0,8:25,1.0,10.0,IND 25,0.0,7.0,Miles Sanders up the middle for 2 yards (tackle by Kameron Cline),3.91,3.63,11.0,2022,158
2.0,7:47,2.0,8.0,IND 23,0.0,7.0,Jalen Hurts pass incomplete deep right intended for A.J. Brown,3.63,2.94,11.0,2022,158
2.0,7:42,3.0,8.0,IND 23,0.0,7.0,Jalen Hurts pass complete short right to Quez Watkins for 9 yards (tackle by E.J. Speed),2.94,4.65,11.0,2022,158
2.0,7:04,1.0,10.0,IND 14,0.0,7.0,Jalen Hurts scrambles right tackle for 12 yards (tackle by Rodney McLeod),4.65,6.74,11.0,2022,158
2.0,6:23,1.0,2.0,IND 2,0.0,7.0,Jalen Hurts pass incomplete short left intended for A.J. Brown,6.74,5.72,11.0,2022,158
2.0,6:13,2.0,2.0,IND 2,0.0,7.0,"Jason Kelce aborted snap, recovered by Jalen Hurts at IND-2 Jalen Hurts for no gain (tackle by Julian Blackmon)",5.72,3.13,11.0,2022,158
2.0,5:32,3.0,10.0,IND 10,0.0,7.0,Jalen Hurts scrambles left end for 6 yards (tackle by Julian Blackmon),3.13,3.03,11.0,2022,158
2.0,4:54,4.0,4.0,IND 4,3.0,7.0,Jake Elliott 22 yard field goal good,3.03,3.0,11.0,2022,158
2.0,4:50,,,PHI 35,3.0,7.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,158
2.0,4:50,1.0,10.0,IND 25,3.0,7.0,Matt Ryan pass incomplete short middle intended for Jonathan Taylor,0.61,0.06,11.0,2022,158
2.0,4:45,2.0,10.0,IND 25,3.0,7.0,Matt Ryan pass complete short left to Mo Alie-Cox for 14 yards (tackle by Marcus Epps),0.06,1.53,11.0,2022,158
2.0,4:16,1.0,10.0,IND 39,3.0,7.0,Jonathan Taylor up the middle for 1 yard (tackle by Haason Reddick),1.53,1.12,11.0,2022,158
2.0,3:44,2.0,9.0,IND 40,3.0,7.0,"Matt Ryan pass complete to Kylen Granson for no gain (tackle by T.J. Edwards). Penalty on Bernhard Raimann: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.12,0.45,11.0,2022,158
2.0,3:21,2.0,14.0,IND 35,3.0,7.0,Matt Ryan pass complete short middle to Michael Pittman for 6 yards (tackle by Marcus Epps),0.45,0.56,11.0,2022,158
2.0,2:47,3.0,8.0,IND 41,3.0,7.0,Matt Ryan pass incomplete short left intended for Alec Pierce,0.56,-0.65,11.0,2022,158
2.0,2:41,4.0,8.0,IND 41,3.0,7.0,"Matt Haack punts 59 yards, touchback.",-0.65,-0.28,11.0,2022,158
2.0,2:33,1.0,10.0,PHI 20,3.0,7.0,Jalen Hurts pass complete short right to Zach Pascal for 9 yards (tackle by Bobby Okereke and Brandon Facyson),0.28,0.95,11.0,2022,158
2.0,2:10,2.0,1.0,PHI 29,3.0,7.0,Miles Sanders right tackle for -1 yards (tackle by Byron Cowart and Zaire Franklin),0.95,0.1,11.0,2022,158
2.0,2:00,3.0,2.0,PHI 28,3.0,7.0,Kenneth Gainwell up the middle for no gain (tackle by Rodney McLeod and Bobby Okereke),0.1,-1.5,11.0,2022,158
2.0,1:53,,,,,,Timeout #2 by Indianapolis Colts,,,11.0,2022,158
2.0,1:53,4.0,2.0,PHI 28,3.0,7.0,"Penalty on Jack Stoll: False Start, 5 yards (accepted) (no play)",-1.5,-1.83,11.0,2022,158
