Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Amon-Ra St. Brown,DET,8,7,76,0,3.0,47,6.7,29,4.1,5.6,1,7.0,0,0.0,0,106.2,11.0,2022,153
Kalif Raymond,DET,7,3,33,0,2.0,3,1.0,30,10.0,7.0,0,,0,0.0,0,57.4,11.0,2022,153
D'Andre Swift,DET,3,3,12,0,0.0,1,0.3,11,3.7,0.3,0,,0,0.0,0,83.3,11.0,2022,153
Brock Wright,DET,2,2,20,0,2.0,5,2.5,15,7.5,2.5,0,,0,0.0,0,108.3,11.0,2022,153
Justin Jackson,DET,1,1,11,0,1.0,3,3.0,8,8.0,3.0,0,,0,0.0,0,112.5,11.0,2022,153
Tom Kennedy,DET,1,1,13,0,1.0,4,4.0,9,9.0,4.0,0,,0,0.0,0,118.7,11.0,2022,153
Jason Cabinda,DET,2,0,0,0,,0,,0,,4.0,0,,2,100.0,0,39.6,11.0,2022,153
DJ Chark,DET,1,0,0,0,,0,,0,,29.0,0,,0,0.0,0,39.6,11.0,2022,153
Wan'Dale Robinson,NYG,13,9,100,0,5.0,43,4.8,57,6.3,8.3,0,,1,7.7,0,91.8,11.0,2022,153
Darius Slayton,NYG,10,5,86,0,4.0,57,11.4,29,5.8,9.6,0,,2,20.0,1,40.0,11.0,2022,153
Isaiah Hodgins,NYG,3,3,29,0,2.0,28,9.3,1,0.3,9.3,0,,0,0.0,0,106.9,11.0,2022,153
Richie James,NYG,3,3,48,1,3.0,26,8.7,22,7.3,8.7,0,,0,0.0,0,158.3,11.0,2022,153
Saquon Barkley,NYG,5,2,13,0,,5,2.5,8,4.0,1.8,0,,1,20.0,0,47.9,11.0,2022,153
Lawrence Cager,NYG,3,2,20,0,1.0,16,8.0,4,2.0,11.7,0,,0,0.0,1,45.8,11.0,2022,153
Kenny Golladay,NYG,2,2,29,0,1.0,27,13.5,2,1.0,13.5,0,,0,0.0,0,118.7,11.0,2022,153
Matt Breida,NYG,1,1,16,0,1.0,7,7.0,9,9.0,7.0,0,,0,0.0,0,118.7,11.0,2022,153
