#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,LAC 25,6,3:16,15,Punt,0,Chargers,12.0,2022,176
2,1,10:27,ARI 47,3,1:22,3,Punt,0,Chargers,12.0,2022,176
3,1,2:33,LAC 25,3,0:42,-7,Punt,0,Chargers,12.0,2022,176
4,2,14:03,LAC 25,11,5:12,75,Touchdown,0,Chargers,12.0,2022,176
5,2,7:03,LAC 44,5,2:35,56,Touchdown,0,Chargers,12.0,2022,176
6,2,0:12,LAC 25,1,0:12,-1,End of Half,0,Chargers,12.0,2022,176
7,3,11:01,LAC 39,14,6:33,53,Field Goal,0,Chargers,12.0,2022,176
8,4,13:31,LAC 25,4,2:39,27,Punt,0,Chargers,12.0,2022,176
9,4,9:07,LAC 39,3,1:33,-3,Punt,0,Chargers,12.0,2022,176
10,4,6:07,LAC 22,8,3:48,30,Punt,0,Chargers,12.0,2022,176
11,4,1:48,ARI 38,7,1:33,38,Touchdown,0,Chargers,12.0,2022,176
