Quarter,Time,Down,ToGo,Location,PIT,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss and deferred, Steelers to receive the opening kickoff.",,,12.0,2022,180
1.0,15:00,,,IND 35,0.0,0.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,180
1.0,15:00,1.0,10.0,PIT 25,0.0,0.0,Najee Harris up the middle for 8 yards (tackle by Stephon Gilmore and Dayo Odeyingbo),0.61,1.14,12.0,2022,180
1.0,14:25,2.0,2.0,PIT 33,0.0,0.0,Kenny Pickett pass complete short left to Diontae Johnson for 11 yards (tackle by Kenny Moore),1.14,1.86,12.0,2022,180
1.0,13:49,1.0,10.0,PIT 44,0.0,0.0,Najee Harris right end for no gain (tackle by DeForest Buckner),1.86,1.32,12.0,2022,180
1.0,13:11,2.0,10.0,PIT 44,0.0,0.0,Kenny Pickett pass complete short right to Diontae Johnson for 11 yards (tackle by Stephon Gilmore),1.32,2.59,12.0,2022,180
1.0,12:29,1.0,10.0,IND 45,0.0,0.0,Najee Harris right end for 7 yards (tackle by Rodney McLeod),2.59,2.99,12.0,2022,180
1.0,11:56,2.0,3.0,IND 38,0.0,0.0,Kenny Pickett pass complete short right to Steven Sims for 3 yards (tackle by Bobby Okereke),2.99,3.25,12.0,2022,180
1.0,11:20,1.0,10.0,IND 35,0.0,0.0,"Anthony McFarland left end for no gain (tackle by Kenny Moore). Penalty on Dan Moore: Offensive Holding, 10 yards (accepted) (no play)",3.25,2.59,12.0,2022,180
1.0,11:01,1.0,20.0,IND 45,0.0,0.0,Kenny Pickett scrambles right end for 8 yards (tackle by Zaire Franklin),2.59,2.43,12.0,2022,180
1.0,10:20,2.0,12.0,IND 37,0.0,0.0,Kenny Pickett pass complete short middle to Pat Freiermuth for 10 yards (tackle by Kenny Moore),2.43,3.07,12.0,2022,180
1.0,9:39,3.0,2.0,IND 27,0.0,0.0,Kenny Pickett pass incomplete short left intended for Steven Sims (defended by Kenny Moore),3.07,1.8,12.0,2022,180
1.0,9:32,4.0,2.0,IND 27,3.0,0.0,Matthew Wright 45 yard field goal good,1.8,3.0,12.0,2022,180
1.0,9:27,,,PIT 35,3.0,0.0,"Matthew Wright kicks off 64 yards, returned by Isaiah Rodgers for 33 yards (tackle by Benny Snell and Arthur Maulet)",0.0,1.2,12.0,2022,180
1.0,9:21,1.0,10.0,IND 34,3.0,0.0,Matt Ryan pass incomplete short right intended for Alec Pierce (defended by Levi Wallace),1.2,0.66,12.0,2022,180
1.0,9:16,2.0,10.0,IND 34,3.0,0.0,Matt Ryan pass short left intended for Michael Pittman is intercepted by James Pierre at IND-38 and returned for no gain (tackle by Michael Pittman),0.66,-3.05,12.0,2022,180
1.0,9:09,1.0,10.0,IND 38,3.0,0.0,Kenny Pickett pass complete short left to Cody White for 2 yards (tackle by Isaiah Rodgers),3.05,2.78,12.0,2022,180
1.0,8:33,2.0,8.0,IND 36,3.0,0.0,Najee Harris left guard for 3 yards (tackle by DeForest Buckner and Zaire Franklin),2.78,2.48,12.0,2022,180
1.0,7:51,3.0,5.0,IND 33,3.0,0.0,Kenny Pickett scrambles left end for 9 yards (tackle by Zaire Franklin),2.48,3.97,12.0,2022,180
1.0,7:09,1.0,10.0,IND 24,3.0,0.0,Kenny Pickett sacked by Yannick Ngakoue for -5 yards,3.97,2.76,12.0,2022,180
1.0,6:32,2.0,15.0,IND 29,3.0,0.0,Najee Harris left end for 3 yards (tackle by Stephon Gilmore),2.76,2.48,12.0,2022,180
1.0,5:48,3.0,12.0,IND 26,3.0,0.0,Kenny Pickett sacked by Yannick Ngakoue for -12 yards,2.48,0.72,12.0,2022,180
1.0,5:06,4.0,24.0,IND 38,3.0,0.0,"Pressley Harvin punts 38 yards, touchback.",0.72,-0.28,12.0,2022,180
1.0,4:58,1.0,10.0,IND 20,3.0,0.0,Jonathan Taylor right end for 6 yards (tackle by Alex Highsmith),0.28,0.54,12.0,2022,180
1.0,4:31,2.0,4.0,IND 26,3.0,0.0,Jonathan Taylor left tackle for 1 yard (tackle by Arthur Maulet),0.54,-0.03,12.0,2022,180
1.0,3:54,3.0,3.0,IND 27,3.0,0.0,Matt Ryan sacked by Terrell Edmunds for -7 yards,-0.03,-2.03,12.0,2022,180
1.0,3:12,4.0,10.0,IND 20,3.0,0.0,"Matt Haack punts 59 yards, returned by Steven Sims for 18 yards (tackle by E.J. Speed)",-2.03,-1.53,12.0,2022,180
1.0,3:00,1.0,10.0,PIT 39,3.0,0.0,Najee Harris up the middle for 2 yards (tackle by Eric Johnson),1.53,1.26,12.0,2022,180
1.0,2:25,2.0,8.0,PIT 41,3.0,0.0,Kenny Pickett pass complete short left to George Pickens for 9 yards (tackle by Zaire Franklin),1.26,2.26,12.0,2022,180
1.0,1:45,1.0,10.0,PIT 50,3.0,0.0,Kenny Pickett pass incomplete short right intended for Diontae Johnson,2.26,1.71,12.0,2022,180
1.0,1:39,2.0,10.0,PIT 50,3.0,0.0,Anthony McFarland left end for 14 yards (tackle by Julian Blackmon and Stephon Gilmore),1.71,3.18,12.0,2022,180
1.0,0:58,1.0,10.0,IND 36,3.0,0.0,Anthony McFarland left tackle for -1 yards (tackle by DeForest Buckner and Bobby Okereke),3.18,2.5,12.0,2022,180
1.0,0:23,2.0,11.0,IND 37,3.0,0.0,Kenny Pickett pass complete short left to Anthony McFarland for -1 yards (tackle by Rodney McLeod),2.5,1.69,12.0,2022,180
2.0,15:00,3.0,12.0,IND 38,3.0,0.0,Kenny Pickett pass complete short left to Najee Harris for 4 yards (tackle by Yannick Ngakoue),1.69,1.06,12.0,2022,180
2.0,14:14,4.0,8.0,IND 34,6.0,0.0,Matthew Wright 52 yard field goal good,1.06,3.0,12.0,2022,180
2.0,14:09,,,PIT 35,6.0,0.0,"Matthew Wright kicks off 64 yards, returned by Isaiah Rodgers for 29 yards (tackle by Arthur Maulet and Marcus Allen)",0.0,0.94,12.0,2022,180
2.0,14:03,1.0,10.0,IND 30,6.0,0.0,Matt Ryan pass incomplete short middle intended for Jonathan Taylor,0.94,0.39,12.0,2022,180
2.0,14:00,2.0,10.0,IND 30,6.0,0.0,Jonathan Taylor up the middle for 6 yards (tackle by Minkah Fitzpatrick),0.39,0.5,12.0,2022,180
2.0,13:33,3.0,4.0,IND 36,6.0,0.0,"Matt Ryan pass incomplete short right intended for Michael Pittman. Penalty on Braden Smith: Offensive Holding, 10 yards (declined)",0.5,-0.98,12.0,2022,180
2.0,13:25,4.0,4.0,IND 36,6.0,0.0,"Matt Haack punts 42 yards, returned by Steven Sims for -1 yards (tackle by Bobby Okereke)",-0.98,-0.34,12.0,2022,180
2.0,13:17,1.0,10.0,PIT 21,6.0,0.0,Kenny Pickett pass complete deep right to George Pickens for 35 yards (tackle by Brandon Facyson),0.34,2.65,12.0,2022,180
2.0,12:49,1.0,10.0,IND 44,6.0,0.0,Najee Harris up the middle for 5 yards (tackle by Grover Stewart and E.J. Speed),2.65,2.78,12.0,2022,180
2.0,12:10,2.0,5.0,IND 39,6.0,0.0,Benny Snell up the middle for 3 yards (tackle by Zaire Franklin and E.J. Speed),2.78,2.48,12.0,2022,180
2.0,11:32,3.0,2.0,IND 36,6.0,0.0,Benny Snell up the middle for 2 yards (tackle by E.J. Speed and Kenny Moore),2.48,3.31,12.0,2022,180
2.0,10:49,1.0,10.0,IND 34,6.0,0.0,Benny Snell left tackle for 5 yards (tackle by DeForest Buckner),3.31,3.45,12.0,2022,180
2.0,10:13,2.0,5.0,IND 29,6.0,0.0,Kenny Pickett pass complete short left to Pat Freiermuth for 12 yards (tackle by Stephon Gilmore),3.45,4.44,12.0,2022,180
2.0,9:33,1.0,10.0,IND 17,6.0,0.0,Najee Harris up the middle for -1 yards (tackle by E.J. Speed and Rodney McLeod),4.44,3.72,12.0,2022,180
2.0,8:55,2.0,11.0,IND 18,6.0,0.0,Kenny Pickett up the middle for 9 yards (tackle by Julian Blackmon),3.72,4.57,12.0,2022,180
2.0,8:31,3.0,2.0,IND 9,6.0,0.0,Anthony McFarland left guard for 3 yards (tackle by Yannick Ngakoue and E.J. Speed),4.57,5.83,12.0,2022,180
2.0,7:51,1.0,6.0,IND 6,12.0,0.0,"Najee Harris up the middle for 6 yards, touchdown",5.83,7.0,12.0,2022,180
2.0,7:46,,,IND 15,13.0,0.0,Matthew Wright kicks extra point good,0.0,0.0,12.0,2022,180
2.0,7:46,,,PIT 35,13.0,0.0,"Matthew Wright kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,180
2.0,7:46,1.0,10.0,IND 25,13.0,0.0,Jonathan Taylor right tackle for 10 yards (tackle by Myles Jack and Terrell Edmunds),0.61,1.27,12.0,2022,180
2.0,7:09,1.0,10.0,IND 35,13.0,0.0,Matt Ryan pass incomplete intended for Michael Pittman (defended by Levi Wallace),1.27,0.72,12.0,2022,180
2.0,7:05,2.0,10.0,IND 35,13.0,0.0,Matt Ryan pass complete to Jonathan Taylor for 9 yards (tackle by Arthur Maulet and Devin Bush),0.72,1.22,12.0,2022,180
2.0,6:40,3.0,1.0,IND 44,13.0,0.0,Jonathan Taylor right tackle for 7 yards (tackle by Arthur Maulet),1.22,2.32,12.0,2022,180
2.0,6:05,1.0,10.0,PIT 49,13.0,0.0,Matt Ryan pass incomplete short left,2.32,1.78,12.0,2022,180
2.0,5:58,2.0,10.0,PIT 49,13.0,0.0,Matt Ryan pass complete short middle to Michael Pittman for 10 yards (tackle by Myles Jack and Larry Ogunjobi),1.78,2.98,12.0,2022,180
2.0,5:16,1.0,10.0,PIT 39,13.0,0.0,Jonathan Taylor up the middle for 4 yards (tackle by Malik Reed and Montravius Adams),2.98,2.98,12.0,2022,180
2.0,4:38,2.0,6.0,PIT 35,13.0,0.0,Zack Moss right tackle for 2 yards (tackle by Larry Ogunjobi),2.98,2.54,12.0,2022,180
2.0,3:59,3.0,4.0,PIT 33,13.0,0.0,Matt Ryan pass incomplete short right intended for Mo Alie-Cox,2.54,1.18,12.0,2022,180
2.0,3:53,4.0,4.0,PIT 33,13.0,3.0,Chase McLaughlin 51 yard field goal good,1.18,3.0,12.0,2022,180
2.0,3:48,,,IND 35,13.0,3.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,180
2.0,3:48,1.0,10.0,PIT 25,13.0,3.0,Kenny Pickett pass complete short right to Anthony McFarland for 12 yards (tackle by Byron Cowart),0.61,1.4,12.0,2022,180
2.0,3:09,1.0,10.0,PIT 37,13.0,3.0,Kenny Pickett pass complete short right to Diontae Johnson for 9 yards (tackle by Stephon Gilmore),1.4,2.07,12.0,2022,180
2.0,2:30,2.0,1.0,PIT 46,13.0,3.0,Anthony McFarland up the middle for 5 yards (tackle by Rodney McLeod),2.07,2.32,12.0,2022,180
2.0,2:00,1.0,10.0,IND 49,13.0,3.0,Benny Snell up the middle for 16 yards (tackle by Rodney Thomas and Stephon Gilmore),2.32,3.38,12.0,2022,180
2.0,1:35,1.0,10.0,IND 33,13.0,3.0,Kenny Pickett pass complete short right to Steven Sims for 6 yards (tackle by Kenny Moore),3.38,3.65,12.0,2022,180
2.0,1:28,,,,,,Timeout #1 by Pittsburgh Steelers,,,12.0,2022,180
2.0,1:28,2.0,4.0,IND 27,13.0,3.0,Kenny Pickett scrambles left end for 5 yards (tackle by Kenny Moore),3.65,4.11,12.0,2022,180
2.0,1:22,1.0,10.0,IND 22,13.0,3.0,Najee Harris up the middle for 2 yards (tackle by Ben Banogu),4.11,3.83,12.0,2022,180
2.0,1:17,,,,,,Timeout #2 by Pittsburgh Steelers,,,12.0,2022,180
2.0,1:17,2.0,8.0,IND 20,13.0,3.0,Kenny Pickett pass complete short right to Diontae Johnson for 10 yards (tackle by Kenny Moore),3.83,4.91,12.0,2022,180
2.0,1:13,1.0,10.0,IND 10,13.0,3.0,Kenny Pickett pass incomplete short right intended for Pat Freiermuth (defended by Rodney McLeod),4.91,4.19,12.0,2022,180
2.0,1:09,2.0,10.0,IND 10,13.0,3.0,Kenny Pickett up the middle for 3 yards (tackle by Ben Banogu),4.19,3.81,12.0,2022,180
2.0,1:05,,,,,,Timeout #1 by Indianapolis Colts,,,12.0,2022,180
2.0,1:05,3.0,7.0,IND 7,13.0,3.0,Kenny Pickett pass incomplete short left intended for George Pickens,3.81,2.97,12.0,2022,180
2.0,0:59,4.0,7.0,IND 7,16.0,3.0,Matthew Wright 25 yard field goal good,2.97,3.0,12.0,2022,180
2.0,0:56,,,PIT 35,16.0,3.0,"Matthew Wright kicks off 69 yards, returned by Isaiah Rodgers for 45 yards (tackle by Matthew Wright and Arthur Maulet)",0.0,1.66,12.0,2022,180
