Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Kenny Pickett,PIT,6,32,0,9,12.0,2022,180
Benny Snell Jr.,PIT,12,62,1,16,12.0,2022,180
Najee Harris,PIT,10,35,1,8,12.0,2022,180
Anthony McFarland Jr.,PIT,6,30,0,14,12.0,2022,180
Gunner Olszewski,PIT,1,9,0,9,12.0,2022,180
Derek Watt,PIT,1,4,0,4,12.0,2022,180
George Pickens,PIT,0,0,0,0,12.0,2022,180
Diontae Johnson,PIT,0,0,0,0,12.0,2022,180
Pat Freiermuth,PIT,0,0,0,0,12.0,2022,180
Steven Sims,PIT,0,0,0,0,12.0,2022,180
Cody White,PIT,0,0,0,0,12.0,2022,180
Zach Gentry,PIT,0,0,0,0,12.0,2022,180
Matt Ryan,IND,4,22,0,14,12.0,2022,180
Jonathan Taylor,IND,20,86,1,13,12.0,2022,180
Zack Moss,IND,1,2,0,2,12.0,2022,180
Jelani Woods,IND,0,0,0,0,12.0,2022,180
Michael Pittman Jr.,IND,0,0,0,0,12.0,2022,180
Parris Campbell,IND,0,0,0,0,12.0,2022,180
Mo Alie-Cox,IND,0,0,0,0,12.0,2022,180
Alec Pierce,IND,0,0,0,0,12.0,2022,180
