Player,Pos,home_team,team,week,year,game_id
Aaron Rodgers,QB,0,Packers,12.0,2022,179
Aaron Jones,RB,0,Packers,12.0,2022,179
Christian Watson,WR,0,Packers,12.0,2022,179
Samori Toure,WR,0,Packers,12.0,2022,179
Allen Lazard,WR,0,Packers,12.0,2022,179
Marcedes Lewis,TE,0,Packers,12.0,2022,179
Josh Myers,OL,0,Packers,12.0,2022,179
Yosh Nijman,T,0,Packers,12.0,2022,179
David Bakhtiari,T,0,Packers,12.0,2022,179
Elgton Jenkins,G,0,Packers,12.0,2022,179
Jon Runyan Jr.,G,0,Packers,12.0,2022,179
Kenny Clark,DL,0,Packers,12.0,2022,179
Jarran Reed,DT,0,Packers,12.0,2022,179
Kingsley Enagbare,LB,0,Packers,12.0,2022,179
Krys Barnes,LB,0,Packers,12.0,2022,179
Preston Smith,LB,0,Packers,12.0,2022,179
Quay Walker,LB,0,Packers,12.0,2022,179
Rasul Douglas,CB,0,Packers,12.0,2022,179
Jaire Alexander,CB,0,Packers,12.0,2022,179
Keisean Nixon,CB,0,Packers,12.0,2022,179
Rudy Ford,S,0,Packers,12.0,2022,179
Adrian Amos,S,0,Packers,12.0,2022,179
