Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Derek Carr,LVR,25,36,295,3,2,1,2,36,98.7,12.0,2022,175
Josh Jacobs,LVR,0,0,0,0,0,0,0,0,,12.0,2022,175
Zamir White,LVR,0,0,0,0,0,0,0,0,,12.0,2022,175
Ameer Abdullah,LVR,0,0,0,0,0,0,0,0,,12.0,2022,175
Davante Adams,LVR,0,0,0,0,0,0,0,0,,12.0,2022,175
Mack Hollins,LVR,0,0,0,0,0,0,0,0,,12.0,2022,175
Foster Moreau,LVR,0,0,0,0,0,0,0,0,,12.0,2022,175
Keelan Cole,LVR,0,0,0,0,0,0,0,0,,12.0,2022,175
Jakob Johnson,LVR,0,0,0,0,0,0,0,0,,12.0,2022,175
Geno Smith,SEA,27,37,328,2,1,3,21,35,106.6,12.0,2022,175
Kenneth Walker III,SEA,0,0,0,0,0,0,0,0,,12.0,2022,175
Travis Homer,SEA,0,0,0,0,0,0,0,0,,12.0,2022,175
Marquise Goodwin,SEA,0,0,0,0,0,0,0,0,,12.0,2022,175
DeeJay Dallas,SEA,0,0,0,0,0,0,0,0,,12.0,2022,175
D.K. Metcalf,SEA,0,0,0,0,0,0,0,0,,12.0,2022,175
Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,12.0,2022,175
Noah Fant,SEA,0,0,0,0,0,0,0,0,,12.0,2022,175
Will Dissly,SEA,0,0,0,0,0,0,0,0,,12.0,2022,175
