Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Joe Burrow,CIN,22,37,270,1,0,1,4,32,91.0,12.0,2022,168
Samaje Perine,CIN,0,0,0,0,0,0,0,0,,12.0,2022,168
Trayveon Williams,CIN,0,0,0,0,0,0,0,0,,12.0,2022,168
Tee Higgins,CIN,0,0,0,0,0,0,0,0,,12.0,2022,168
Hayden Hurst,CIN,0,0,0,0,0,0,0,0,,12.0,2022,168
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,12.0,2022,168
Trenton Irwin,CIN,0,0,0,0,0,0,0,0,,12.0,2022,168
Trent Taylor,CIN,0,0,0,0,0,0,0,0,,12.0,2022,168
Ryan Tannehill,TEN,22,34,291,0,0,1,10,69,91.7,12.0,2022,168
Derrick Henry,TEN,0,0,0,0,0,0,0,0,,12.0,2022,168
Dontrell Hilliard,TEN,0,0,0,0,0,0,0,0,,12.0,2022,168
Treylon Burks,TEN,0,0,0,0,0,0,0,0,,12.0,2022,168
Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,12.0,2022,168
Chigoziem Okonkwo,TEN,0,0,0,0,0,0,0,0,,12.0,2022,168
Austin Hooper,TEN,0,0,0,0,0,0,0,0,,12.0,2022,168
Robert Woods,TEN,0,0,0,0,0,0,0,0,,12.0,2022,168
Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,12.0,2022,168
