Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Russell Wilson,DEN,0,0,0,0,0,13.0,2022,183
Latavius Murray,DEN,4,4,14,0,6,13.0,2022,183
Mike Boone,DEN,1,1,8,0,8,13.0,2022,183
Marlon Mack,DEN,1,1,6,0,6,13.0,2022,183
Greg Dulcich,DEN,8,6,85,0,30,13.0,2022,183
Jerry Jeudy,DEN,4,4,65,0,40,13.0,2022,183
Kendall Hinton,DEN,1,1,11,0,11,13.0,2022,183
Courtland Sutton,DEN,1,0,0,0,0,13.0,2022,183
Montrell Washington,DEN,1,0,0,0,0,13.0,2022,183
Tyler Huntley,BAL,0,0,0,0,0,13.0,2022,183
Lamar Jackson,BAL,0,0,0,0,0,13.0,2022,183
James Proche,BAL,2,2,9,0,7,13.0,2022,183
Kenyan Drake,BAL,3,2,17,0,13,13.0,2022,183
Gus Edwards,BAL,0,0,0,0,0,13.0,2022,183
Devin Duvernay,BAL,6,6,34,0,13,13.0,2022,183
Justice Hill,BAL,2,2,4,0,5,13.0,2022,183
Mark Andrews,BAL,7,4,53,0,22,13.0,2022,183
Demarcus Robinson,BAL,8,7,41,0,10,13.0,2022,183
Isaiah Likely,BAL,4,4,30,0,12,13.0,2022,183
DeSean Jackson,BAL,3,2,10,0,5,13.0,2022,183
Patrick Ricard,BAL,1,1,0,0,0,13.0,2022,183
