Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Jon Runyan Jr.,G,66,100%,0,0%,4,17%,0,Packers,13.0,2022,189
Josh Myers,C,66,100%,0,0%,4,17%,0,Packers,13.0,2022,189
Yosh Nijman,T,66,100%,0,0%,4,17%,0,Packers,13.0,2022,189
Elgton Jenkins,G,66,100%,0,0%,0,0%,0,Packers,13.0,2022,189
Zach Tom,T,66,100%,0,0%,0,0%,0,Packers,13.0,2022,189
Aaron Rodgers,QB,66,100%,0,0%,0,0%,0,Packers,13.0,2022,189
Allen Lazard,WR,62,94%,0,0%,0,0%,0,Packers,13.0,2022,189
Christian Watson,WR,61,92%,0,0%,0,0%,0,Packers,13.0,2022,189
AJ Dillon,RB,45,68%,0,0%,0,0%,0,Packers,13.0,2022,189
Robert Tonyan,TE,34,52%,0,0%,0,0%,0,Packers,13.0,2022,189
Randall Cobb,WR,33,50%,0,0%,1,4%,0,Packers,13.0,2022,189
Marcedes Lewis,TE,28,42%,0,0%,4,17%,0,Packers,13.0,2022,189
Aaron Jones,RB,25,38%,0,0%,0,0%,0,Packers,13.0,2022,189
Samori Toure,WR,12,18%,0,0%,0,0%,0,Packers,13.0,2022,189
Josiah Deguara,TE,10,15%,0,0%,12,50%,0,Packers,13.0,2022,189
Tyler Davis,TE,7,11%,0,0%,19,79%,0,Packers,13.0,2022,189
Sammy Watkins,WR,7,11%,0,0%,0,0%,0,Packers,13.0,2022,189
Patrick Taylor,RB,6,9%,0,0%,8,33%,0,Packers,13.0,2022,189
Rasul Douglas,CB,0,0%,52,100%,11,46%,0,Packers,13.0,2022,189
Jaire Alexander,CB,0,0%,52,100%,5,21%,0,Packers,13.0,2022,189
De'Vondre Campbell,LB,0,0%,52,100%,5,21%,0,Packers,13.0,2022,189
Adrian Amos,FS,0,0%,52,100%,5,21%,0,Packers,13.0,2022,189
Quay Walker,LB,0,0%,52,100%,3,13%,0,Packers,13.0,2022,189
Rudy Ford,SS,0,0%,52,100%,0,0%,0,Packers,13.0,2022,189
Preston Smith,LB,0,0%,41,79%,5,21%,0,Packers,13.0,2022,189
Kenny Clark,NT,0,0%,39,75%,5,21%,0,Packers,13.0,2022,189
Keisean Nixon,CB,0,0%,37,71%,8,33%,0,Packers,13.0,2022,189
Jarran Reed,DT,0,0%,36,69%,5,21%,0,Packers,13.0,2022,189
Kingsley Enagbare,LB,0,0%,29,56%,8,33%,0,Packers,13.0,2022,189
Dean Lowry,DE,0,0%,26,50%,9,38%,0,Packers,13.0,2022,189
Jonathan Garvin,LB,0,0%,19,37%,6,25%,0,Packers,13.0,2022,189
Justin Hollins,LB,0,0%,14,27%,2,8%,0,Packers,13.0,2022,189
Tedarrell Slaton,DT,0,0%,9,17%,9,38%,0,Packers,13.0,2022,189
Devonte Wyatt,DT,0,0%,9,17%,0,0%,0,Packers,13.0,2022,189
Micah Abernathy,FS,0,0%,1,2%,7,29%,0,Packers,13.0,2022,189
Dallin Leavitt,FS,0,0%,0,0%,20,83%,0,Packers,13.0,2022,189
Isaiah McDuffie,LB,0,0%,0,0%,15,63%,0,Packers,13.0,2022,189
Innis Gaines,SS,0,0%,0,0%,15,63%,0,Packers,13.0,2022,189
Eric Wilson,LB,0,0%,0,0%,15,63%,0,Packers,13.0,2022,189
Corey Ballentine,CB,0,0%,0,0%,12,50%,0,Packers,13.0,2022,189
Mason Crosby,K,0,0%,0,0%,10,42%,0,Packers,13.0,2022,189
Tariq Carpenter,SS,0,0%,0,0%,10,42%,0,Packers,13.0,2022,189
Pat O'Donnell,P,0,0%,0,0%,7,29%,0,Packers,13.0,2022,189
Jack Coco,LS,0,0%,0,0%,7,29%,0,Packers,13.0,2022,189
Royce Newman,T,0,0%,0,0%,4,17%,0,Packers,13.0,2022,189
