Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Trevor Lawrence,JAX,4,32,0,12,13.0,2022,184
C.J. Beathard,JAX,0,0,0,0,13.0,2022,184
Travis Etienne,JAX,13,54,0,13,13.0,2022,184
Snoop Conner,JAX,1,6,0,6,13.0,2022,184
Jamal Agnew,JAX,1,3,0,3,13.0,2022,184
Christian Kirk,JAX,0,0,0,0,13.0,2022,184
Evan Engram,JAX,0,0,0,0,13.0,2022,184
Marvin Jones,JAX,0,0,0,0,13.0,2022,184
Zay Jones,JAX,0,0,0,0,13.0,2022,184
Tim Jones,JAX,0,0,0,0,13.0,2022,184
Luke Farrell,JAX,0,0,0,0,13.0,2022,184
Chris Manhertz,JAX,0,0,0,0,13.0,2022,184
Jared Goff,DET,0,0,0,0,13.0,2022,184
D'Andre Swift,DET,14,62,1,10,13.0,2022,184
Jamaal Williams,DET,11,35,1,12,13.0,2022,184
Justin Jackson,DET,1,4,0,4,13.0,2022,184
Jason Cabinda,DET,1,4,0,4,13.0,2022,184
Amon-Ra St. Brown,DET,1,2,0,2,13.0,2022,184
DJ Chark,DET,0,0,0,0,13.0,2022,184
Brock Wright,DET,0,0,0,0,13.0,2022,184
Josh Reynolds,DET,0,0,0,0,13.0,2022,184
Shane Zylstra,DET,0,0,0,0,13.0,2022,184
Jameson Williams,DET,0,0,0,0,13.0,2022,184
Nate Sudfeld,DET,2,-1,0,0,13.0,2022,184
Kalif Raymond,DET,1,-6,0,-6,13.0,2022,184
