Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Justin Herbert,LAC,0,0,0,0,0,13.0,2022,193
Austin Ekeler,LAC,6,5,67,0,18,13.0,2022,193
Joshua Kelley,LAC,1,0,0,0,0,13.0,2022,193
Keenan Allen,LAC,14,6,88,1,35,13.0,2022,193
Gerald Everett,LAC,6,5,80,0,19,13.0,2022,193
Josh Palmer,LAC,11,7,60,0,15,13.0,2022,193
Michael Bandy,LAC,1,1,15,0,15,13.0,2022,193
DeAndre Carter,LAC,2,1,14,0,14,13.0,2022,193
Tre' McKitty,LAC,1,1,8,0,8,13.0,2022,193
Stone Smartt,LAC,3,2,3,0,5,13.0,2022,193
Derek Carr,LVR,0,0,0,0,0,13.0,2022,193
Josh Jacobs,LVR,2,2,6,0,5,13.0,2022,193
Zamir White,LVR,0,0,0,0,0,13.0,2022,193
Ameer Abdullah,LVR,1,0,0,0,0,13.0,2022,193
Davante Adams,LVR,12,8,177,2,45,13.0,2022,193
Mack Hollins,LVR,9,5,35,0,14,13.0,2022,193
Foster Moreau,LVR,3,1,32,0,32,13.0,2022,193
