Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,week,year,game_id
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,,,
Daron Payne,WAS,0,0,0,0,0,2.0,4,3,1,2,2,0,0,0,0,13.0,2022,186
Jonathan Allen,WAS,0,0,0,0,0,1.0,8,7,1,1,1,0,0,0,1,13.0,2022,186
Danny Johnson,WAS,0,0,0,0,2,1.0,6,6,0,1,1,0,0,0,0,13.0,2022,186
Kamren Curl,WAS,0,0,0,0,0,0.0,11,9,2,1,0,0,0,0,0,13.0,2022,186
Jamin Davis,WAS,0,0,0,0,0,0.0,10,7,3,1,0,1,0,0,0,13.0,2022,186
Jonathan Bostic,WAS,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,13.0,2022,186
Darrick Forrest,WAS,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,13.0,2022,186
Bobby McCain,WAS,0,0,0,0,0,0.0,5,5,0,1,0,0,0,0,0,13.0,2022,186
Kendall Fuller,WAS,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,13.0,2022,186
Christian Holmes,WAS,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0,13.0,2022,186
Jeremy Reaves,WAS,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,13.0,2022,186
Percy Butler,WAS,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,13.0,2022,186
David Mayo,WAS,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,13.0,2022,186
Casey Toohill,WAS,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,13.0,2022,186
Efe Obada,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,13.0,2022,186
John Ridgeway,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,13.0,2022,186
Montez Sweat,WAS,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,13.0,2022,186
Jonathan Williams,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,13.0,2022,186
Taylor Heinicke,WAS,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,13.0,2022,186
Tyler Larsen,WAS,0,0,0,0,0,0.0,0,0,0,0,0,1,5,0,0,13.0,2022,186
Dexter Lawrence,NYG,0,0,0,0,0,1.0,9,4,5,1,2,0,0,0,0,13.0,2022,186
Kayvon Thibodeaux,NYG,0,0,0,0,0,1.0,5,2,3,1,2,0,0,0,0,13.0,2022,186
Jihad Ward,NYG,0,0,0,0,0,1.0,3,1,2,0,2,0,0,0,1,13.0,2022,186
Justin Ellis,NYG,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0,13.0,2022,186
Azeez Ojulari,NYG,0,0,0,0,1,1.0,1,1,0,0,2,1,-5,0,1,13.0,2022,186
Julian Love,NYG,0,0,0,0,0,0.0,13,11,2,1,0,0,0,0,0,13.0,2022,186
Micah McFadden,NYG,0,0,0,0,0,0.0,9,4,5,0,0,0,0,0,1,13.0,2022,186
Nick McCloud,NYG,0,0,0,0,2,0.0,8,6,2,0,0,0,0,0,0,13.0,2022,186
Zyon Gilbert,NYG,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0,13.0,2022,186
Fabian Moreau,NYG,0,0,0,0,1,0.0,7,3,4,0,0,0,0,0,0,13.0,2022,186
Jaylon Smith,NYG,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,13.0,2022,186
Vernon Butler,NYG,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,13.0,2022,186
Tony Jefferson,NYG,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0,13.0,2022,186
Jason Pinnock,NYG,0,0,0,0,1,0.0,4,2,2,0,0,0,0,0,0,13.0,2022,186
Leonard Williams,NYG,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0,13.0,2022,186
Tae Crowder,NYG,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,13.0,2022,186
Cordale Flott,NYG,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,13.0,2022,186
Henry Mondeaux,NYG,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,13.0,2022,186
Oshane Ximines,NYG,0,0,0,0,0,0.0,2,1,1,1,0,1,1,0,0,13.0,2022,186
Matt Breida,NYG,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,13.0,2022,186
Gary Brightwell,NYG,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,13.0,2022,186
Carter Coughlin,NYG,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,13.0,2022,186
Marcus Johnson,NYG,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,13.0,2022,186
Chris Myarick,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,13.0,2022,186
