Quarter,Time,Down,ToGo,Location,JAX,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss and deferred, Jaguars to receive the opening kickoff.",,,13.0,2022,184
1.0,15:00,,,DET 35,0.0,0.0,"Jack Fox kicks off 65 yards, returned by Jamal Agnew for 21 yards (tackle by Justin Jackson and Josh Woods)",0.0,0.34,13.0,2022,184
1.0,14:56,1.0,10.0,JAX 21,0.0,0.0,Travis Etienne up the middle for 4 yards (tackle by DeShon Elliott and Malcolm Rodriguez),0.34,0.34,13.0,2022,184
1.0,14:20,2.0,6.0,JAX 25,0.0,0.0,"Travis Etienne left end for 13 yards. Travis Etienne fumbles (forced by DeShon Elliott), recovered by Alex Anzalone at JAC-38",0.34,-3.05,13.0,2022,184
1.0,14:08,1.0,10.0,JAX 38,0.0,0.0,Jared Goff pass complete short left to Kalif Raymond for 7 yards (tackle by Darious Williams),3.05,3.45,13.0,2022,184
1.0,13:27,2.0,3.0,JAX 31,0.0,0.0,Jamaal Williams up the middle for 4 yards (tackle by DaVon Hamilton and Devin Lloyd),3.45,3.78,13.0,2022,184
1.0,12:45,1.0,10.0,JAX 27,0.0,0.0,Jared Goff pass complete short right to Brock Wright for 11 yards (tackle by Foyesade Oluokun),3.78,4.51,13.0,2022,184
1.0,12:17,1.0,10.0,JAX 16,0.0,0.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown (defended by Darious Williams),4.51,3.9,13.0,2022,184
1.0,12:13,2.0,10.0,JAX 16,0.0,0.0,D'Andre Swift left tackle for 3 yards (tackle by Foyesade Oluokun and Travon Walker),3.9,3.54,13.0,2022,184
1.0,11:33,3.0,7.0,JAX 13,0.0,0.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 12 yards (tackle by Andrew Wingard),3.54,6.97,13.0,2022,184
1.0,10:58,1.0,1.0,JAX 1,0.0,6.0,"Jamaal Williams right tackle for 1 yard, touchdown",6.97,7.0,13.0,2022,184
1.0,10:55,,,JAX 15,0.0,7.0,Michael Badgley kicks extra point good,0.0,0.0,13.0,2022,184
1.0,10:55,,,DET 35,0.0,7.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,184
1.0,10:55,1.0,10.0,JAX 25,0.0,7.0,"Penalty on Evan Engram: False Start, 5 yards (accepted) (no play)",0.61,0.28,13.0,2022,184
1.0,10:55,1.0,15.0,JAX 20,0.0,7.0,Trevor Lawrence pass complete deep left to Christian Kirk for 37 yards (tackle by Kerby Joseph),0.28,2.72,13.0,2022,184
1.0,10:40,1.0,10.0,DET 43,0.0,7.0,Travis Etienne up the middle for 7 yards (tackle by Jeff Okudah),2.72,3.12,13.0,2022,184
1.0,10:21,2.0,3.0,DET 36,0.0,7.0,Travis Etienne right tackle for 2 yards (tackle by Alim McNeill and Benito Jones),3.12,2.68,13.0,2022,184
1.0,9:43,3.0,1.0,DET 34,0.0,7.0,Trevor Lawrence pass incomplete short right intended for Chris Manhertz,2.68,1.1,13.0,2022,184
