Player,Pos,home_team,team,week,year,game_id
Kyle Allen,QB,1,Texans,13.0,2022,182
Dameon Pierce,RB,1,Texans,13.0,2022,182
Phillip Dorsett,WR,1,Texans,13.0,2022,182
Jordan Akins,TE,1,Texans,13.0,2022,182
Teagan Quitoriano,TE,1,Texans,13.0,2022,182
Brevin Jordan,TE,1,Texans,13.0,2022,182
Laremy Tunsil,OL,1,Texans,13.0,2022,182
Scott Quessenberry,OL,1,Texans,13.0,2022,182
Tytus Howard,OL,1,Texans,13.0,2022,182
Kenyon Green,OL,1,Texans,13.0,2022,182
A.J. Cann,OL,1,Texans,13.0,2022,182
Jerry Hughes,DL,1,Texans,13.0,2022,182
Roy Lopez,DL,1,Texans,13.0,2022,182
Ogbonnia Okoronkwo,DL,1,Texans,13.0,2022,182
Maliek Collins,DL,1,Texans,13.0,2022,182
Christian Kirksey,LB,1,Texans,13.0,2022,182
Christian Harris,LB,1,Texans,13.0,2022,182
Desmond King,DB,1,Texans,13.0,2022,182
Steven Nelson,DB,1,Texans,13.0,2022,182
Jonathan Owens,DB,1,Texans,13.0,2022,182
Jalen Pitre,DB,1,Texans,13.0,2022,182
Tavierre Thomas,DB,1,Texans,13.0,2022,182
