Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Deshaun Watson,CLE,0,0,0,0,0,14.0,2022,198
Jacoby Brissett,CLE,0,0,0,0,0,14.0,2022,198
Nick Chubb,CLE,3,3,20,0,12,14.0,2022,198
Kareem Hunt,CLE,4,2,6,0,4,14.0,2022,198
Donovan Peoples-Jones,CLE,12,8,114,0,28,14.0,2022,198
Amari Cooper,CLE,7,2,42,0,24,14.0,2022,198
David Bell,CLE,3,3,27,0,13,14.0,2022,198
Harrison Bryant,CLE,1,1,8,0,8,14.0,2022,198
David Njoku,CLE,9,7,59,1,14,14.0,2022,198
Joe Burrow,CIN,0,0,0,0,0,14.0,2022,198
Ja'Marr Chase,CIN,15,10,119,1,20,14.0,2022,198
Joe Mixon,CIN,2,2,10,0,6,14.0,2022,198
Samaje Perine,CIN,5,1,2,0,2,14.0,2022,198
Trayveon Williams,CIN,1,1,6,0,6,14.0,2022,198
Trenton Irwin,CIN,2,2,58,1,45,14.0,2022,198
Trent Taylor,CIN,4,1,34,0,34,14.0,2022,198
Mitchell Wilcox,CIN,2,1,10,0,10,14.0,2022,198
Tyler Boyd,CIN,1,0,0,0,0,14.0,2022,198
