Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Tom Brady,TAM,0,0,14.0,2022,206
Rachaad White,TAM,1,1,14.0,2022,206
Leonard Fournette,TAM,0,0,14.0,2022,206
Chris Godwin,TAM,0,0,14.0,2022,206
Mike Evans,TAM,0,0,14.0,2022,206
Julio Jones,TAM,0,0,14.0,2022,206
Cade Otton,TAM,0,0,14.0,2022,206
Russell Gage,TAM,0,0,14.0,2022,206
Cameron Brate,TAM,0,0,14.0,2022,206
Ko Kieft,TAM,0,0,14.0,2022,206
Scott Miller,TAM,0,0,14.0,2022,206
Brock Purdy,SFO,0,0,14.0,2022,206
Josh Johnson,SFO,0,0,14.0,2022,206
Christian McCaffrey,SFO,0,0,14.0,2022,206
Jordan Mason,SFO,0,0,14.0,2022,206
Deebo Samuel,SFO,1,1,14.0,2022,206
Ray-Ray McCloud,SFO,0,0,14.0,2022,206
Brandon Aiyuk,SFO,0,0,14.0,2022,206
George Kittle,SFO,0,0,14.0,2022,206
Danny Gray,SFO,0,0,14.0,2022,206
Kyle Juszczyk,SFO,0,0,14.0,2022,206
Jauan Jennings,SFO,0,0,14.0,2022,206
