Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,week,year,game_id
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,,,
Jerry Jacobs,DET,1,38,0,38,2,0.0,2,2,0,0,0,0,0,0,0,15.0,2022,217
Romeo Okwara,DET,0,0,0,0,0,2.0,4,2,2,2,2,0,0,0,0,15.0,2022,217
James Houston,DET,0,0,0,0,0,1.0,3,2,1,1,3,0,0,0,0,15.0,2022,217
John Cominsky,DET,0,0,0,0,0,1.0,2,2,0,1,3,0,0,0,0,15.0,2022,217
DeShon Elliott,DET,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,0,15.0,2022,217
Kerby Joseph,DET,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0,15.0,2022,217
Jeff Okudah,DET,0,0,0,0,2,0.0,6,4,2,0,0,0,0,0,0,15.0,2022,217
Alex Anzalone,DET,0,0,0,0,0,0.0,5,2,3,1,1,0,0,0,0,15.0,2022,217
Aidan Hutchinson,DET,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0,15.0,2022,217
Alim McNeill,DET,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0,15.0,2022,217
Isaiah Buggs,DET,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0,15.0,2022,217
Will Harris,DET,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,15.0,2022,217
C.J. Moore,DET,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0,15.0,2022,217
Malcolm Rodriguez,DET,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,15.0,2022,217
Mike Hughes,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,15.0,2022,217
Josh Woods,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,15.0,2022,217
Will Parks,NYJ,0,0,0,0,0,0.0,9,4,5,0,0,0,0,0,0,15.0,2022,217
Quincy Williams,NYJ,0,0,0,0,0,0.0,7,5,2,2,0,0,0,0,0,15.0,2022,217
Kwon Alexander,NYJ,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0,15.0,2022,217
Jordan Whitehead,NYJ,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0,15.0,2022,217
Michael Carter II,NYJ,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,15.0,2022,217
C.J. Mosley,NYJ,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,15.0,2022,217
Sauce Gardner,NYJ,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,15.0,2022,217
Jermaine Johnson II,NYJ,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,15.0,2022,217
Carl Lawson,NYJ,0,0,0,0,0,0.0,3,3,0,1,2,0,0,0,0,15.0,2022,217
Sheldon Rankins,NYJ,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,15.0,2022,217
Nathan Shepherd,NYJ,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0,15.0,2022,217
Tony Adams,NYJ,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,15.0,2022,217
Vinny Curry,NYJ,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,15.0,2022,217
D.J. Reed,NYJ,0,0,0,0,3,0.0,2,2,0,0,0,0,0,0,0,15.0,2022,217
Duane Brown,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,15.0,2022,217
Micheal Clemons,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,15.0,2022,217
Ashtyn Davis,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,15.0,2022,217
John Franklin-Myers,NYJ,0,0,0,0,0,0.0,1,1,0,0,2,0,0,0,0,15.0,2022,217
Tanzel Smart,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,15.0,2022,217
Solomon Thomas,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,15.0,2022,217
Bryce Huff,NYJ,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,15.0,2022,217
