Player,Pos,home_team,team,week,year,game_id
Brett Rypien,QB,1,Broncos,15.0,2022,219
Latavius Murray,RB,1,Broncos,15.0,2022,219
Jerry Jeudy,WR,1,Broncos,15.0,2022,219
Freddie Swain,WR,1,Broncos,15.0,2022,219
Brandon Johnson,WR,1,Broncos,15.0,2022,219
Greg Dulcich,TE,1,Broncos,15.0,2022,219
Billy Turner,OL,1,Broncos,15.0,2022,219
Quinn Meinerz,OL,1,Broncos,15.0,2022,219
Cameron Fleming,T,1,Broncos,15.0,2022,219
Graham Glasgow,G,1,Broncos,15.0,2022,219
Dalton Risner,G,1,Broncos,15.0,2022,219
DeShawn Williams,DT,1,Broncos,15.0,2022,219
D.J. Jones,DT,1,Broncos,15.0,2022,219
Jonathon Cooper,OLB,1,Broncos,15.0,2022,219
Alex Singleton,LB,1,Broncos,15.0,2022,219
Josey Jewell,LB,1,Broncos,15.0,2022,219
Baron Browning,LB,1,Broncos,15.0,2022,219
Damarri Mathis,CB,1,Broncos,15.0,2022,219
Patrick Surtain II,CB,1,Broncos,15.0,2022,219
K'Waun Williams,CB,1,Broncos,15.0,2022,219
Justin Simmons,S,1,Broncos,15.0,2022,219
Kareem Jackson,S,1,Broncos,15.0,2022,219
