Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Isaiah Simmons,ARI,0,4,4,100.0%,29.0,7.3,7.3,0.0,96.9,0.3,1.0,28.0,4,0,0,0.0,0,8,0,0.0%,15.0,2022,219
Budda Baker,ARI,1,4,3,75.0%,35.0,11.7,8.8,0.0,61.5,1.8,4.0,31.0,4,1,0,0.0,1,7,1,12.5%,15.0,2022,219
Jace Whittaker,ARI,0,3,3,100.0%,18.0,6.0,6.0,0.0,91.7,-0.3,-1.0,19.0,1,0,0,0.0,0,5,0,0.0%,15.0,2022,219
Christian Matthew,ARI,0,5,3,60.0%,27.0,9.0,5.4,0.0,74.6,8.2,15.0,12.0,0,0,0,0.0,0,5,0,0.0%,15.0,2022,219
Zaven Collins,ARI,0,3,2,66.7%,15.0,7.5,5.0,1.0,118.1,0.3,5.0,10.0,5,0,0,0.0,0,8,0,0.0%,15.0,2022,219
Dennis Gardeck,ARI,0,2,2,100.0%,19.0,9.5,9.5,0.0,106.2,3.5,7.0,12.0,2,0,0,0.0,0,1,0,0.0%,15.0,2022,219
Tanner Vallejo,ARI,0,1,1,100.0%,18.0,18.0,18.0,0.0,118.7,1.0,1.0,17.0,1,0,1,0.0,1,6,0,0.0%,15.0,2022,219
Kamu Grugier-Hill,ARI,0,1,1,100.0%,12.0,12.0,12.0,0.0,116.7,6.0,6.0,6.0,0,0,0,0.0,0,0,0,,15.0,2022,219
Zeke Turner,ARI,0,1,1,100.0%,5.0,5.0,5.0,0.0,87.5,2.0,2.0,3.0,1,0,0,0.0,0,1,0,0.0%,15.0,2022,219
Jalen Thompson,ARI,0,2,1,50.0%,19.0,19.0,9.5,0.0,83.3,25.5,19.0,0.0,0,0,0,0.0,0,9,0,0.0%,15.0,2022,219
J.J. Watt,ARI,0,0,0,,,,,,,,,,0,1,1,3.0,5,5,0,0.0%,15.0,2022,219
Markus Golden,ARI,0,0,0,,,,,,,,,,8,0,1,1.0,2,7,0,0.0%,15.0,2022,219
Trysten Hill,ARI,0,0,0,,,,,,,,,,0,0,0,1.0,1,1,0,0.0%,15.0,2022,219
Jonathan Ledbetter,ARI,0,0,0,,,,,,,,,,0,0,0,1.0,1,6,0,0.0%,15.0,2022,219
Myjai Sanders,ARI,0,0,0,,,,,,,,,,1,0,0,1.0,1,1,0,0.0%,15.0,2022,219
Jesse Luketa,ARI,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,,15.0,2022,219
Josey Jewell,DEN,0,7,6,85.7%,58.0,9.7,8.3,0.0,101.2,3.4,22.0,36.0,0,0,0,0.0,0,10,0,0.0%,15.0,2022,219
Patrick Surtain II,DEN,1,6,5,83.3%,45.0,9.0,7.5,0.0,58.3,8.8,35.0,10.0,0,0,0,0.0,0,6,0,0.0%,15.0,2022,219
Alex Singleton,DEN,0,6,4,66.7%,29.0,7.3,4.8,0.0,77.8,-0.2,6.0,23.0,1,0,1,0.0,1,10,0,0.0%,15.0,2022,219
Jonathon Cooper,DEN,0,2,1,50.0%,14.0,14.0,7.0,0.0,72.9,7.5,8.0,6.0,2,1,0,0.0,1,3,0,0.0%,15.0,2022,219
Essang Bassey,DEN,0,1,1,100.0%,9.0,9.0,9.0,0.0,104.2,5.0,5.0,4.0,0,0,0,0.0,0,0,0,,15.0,2022,219
K'Waun Williams,DEN,0,3,1,33.3%,5.0,5.0,1.7,0.0,42.4,7.3,2.0,3.0,0,0,0,0.0,0,4,0,0.0%,15.0,2022,219
Justin Simmons,DEN,2,5,1,20.0%,5.0,5.0,1.0,0.0,0.0,10.2,3.0,2.0,0,0,0,0.0,0,4,0,0.0%,15.0,2022,219
Kareem Jackson,DEN,0,2,1,50.0%,8.0,8.0,4.0,0.0,60.4,14.0,1.0,7.0,0,0,0,0.0,0,5,1,16.7%,15.0,2022,219
DeShawn Williams,DEN,0,0,0,,,,,,,,,,0,0,1,2.5,4,5,0,0.0%,15.0,2022,219
Mike Purcell,DEN,0,0,0,,,,,,,,,,0,1,1,0.0,2,3,0,0.0%,15.0,2022,219
Baron Browning,DEN,0,0,0,,,,,,,,,,5,0,0,0.5,1,1,0,0.0%,15.0,2022,219
Damarri Mathis,DEN,0,3,0,0.0%,,,0.0,,39.6,15.7,,,0,0,0,0.0,0,3,0,0.0%,15.0,2022,219
Randy Gregory,DEN,0,0,0,,,,,,,,,,3,0,0,0.0,0,1,0,0.0%,15.0,2022,219
Nik Bonitto,DEN,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,1,50.0%,15.0,2022,219
