Player,Pos,home_team,team,week,year,game_id
Derek Carr,QB,1,Raiders,15.0,2022,220
Josh Jacobs,RB,1,Raiders,15.0,2022,220
Davante Adams,WR,1,Raiders,15.0,2022,220
Mack Hollins,WR,1,Raiders,15.0,2022,220
Darren Waller,TE,1,Raiders,15.0,2022,220
Foster Moreau,TE,1,Raiders,15.0,2022,220
Hroniss Grasu,OL,1,Raiders,15.0,2022,220
Jermaine Eluemunor,OL,1,Raiders,15.0,2022,220
Kolton Miller,T,1,Raiders,15.0,2022,220
Dylan Parham,G,1,Raiders,15.0,2022,220
Andre James,C,1,Raiders,15.0,2022,220
Jerry Tillery,DL,1,Raiders,15.0,2022,220
Chandler Jones,DE,1,Raiders,15.0,2022,220
Maxx Crosby,DE,1,Raiders,15.0,2022,220
Bilal Nichols,DT,1,Raiders,15.0,2022,220
Luke Masterson,LB,1,Raiders,15.0,2022,220
Denzel Perryman,LB,1,Raiders,15.0,2022,220
Nate Hobbs,CB,1,Raiders,15.0,2022,220
Tyler Hall,CB,1,Raiders,15.0,2022,220
Sidney Jones,CB,1,Raiders,15.0,2022,220
Duron Harmon,S,1,Raiders,15.0,2022,220
Tre'von Moehrig,S,1,Raiders,15.0,2022,220
