Player,Pos,home_team,team,week,year,game_id
Ryan Tannehill,QB,0,Titans,15.0,2022,222
Derrick Henry,RB,0,Titans,15.0,2022,222
Robert Woods,WR,0,Titans,15.0,2022,222
Nick Westbrook-Ikhine,WR,0,Titans,15.0,2022,222
Geoff Swaim,TE,0,Titans,15.0,2022,222
Chigoziem Okonkwo,TE,0,Titans,15.0,2022,222
Dennis Daley,OL,0,Titans,15.0,2022,222
Nicholas Petit-Frere,OL,0,Titans,15.0,2022,222
Aaron Brewer,G,0,Titans,15.0,2022,222
Nate Davis,G,0,Titans,15.0,2022,222
Ben Jones,C,0,Titans,15.0,2022,222
Mario Edwards,DE,0,Titans,15.0,2022,222
Naquan Jones,DT,0,Titans,15.0,2022,222
Jeffery Simmons,DT,0,Titans,15.0,2022,222
Bud Dupree,OLB,0,Titans,15.0,2022,222
Monty Rice,LB,0,Titans,15.0,2022,222
Dylan Cole,LB,0,Titans,15.0,2022,222
Roger McCreary,CB,0,Titans,15.0,2022,222
Terrance Mitchell,DB,0,Titans,15.0,2022,222
John Reid,DB,0,Titans,15.0,2022,222
Andrew Adams,DB,0,Titans,15.0,2022,222
Kevin Byard,S,0,Titans,15.0,2022,222
