Player,Pos,home_team,team,week,year,game_id
Kirk Cousins,QB,1,Vikings,15.0,2022,210
Dalvin Cook,RB,1,Vikings,15.0,2022,210
C.J. Ham,FB,1,Vikings,15.0,2022,210
Adam Thielen,WR,1,Vikings,15.0,2022,210
Justin Jefferson,WR,1,Vikings,15.0,2022,210
Johnny Mundt,TE,1,Vikings,15.0,2022,210
Austin Schlottmann,OL,1,Vikings,15.0,2022,210
Christian Darrisaw,T,1,Vikings,15.0,2022,210
Brian O'Neill,T,1,Vikings,15.0,2022,210
Ezra Cleveland,G,1,Vikings,15.0,2022,210
Ed Ingram,G,1,Vikings,15.0,2022,210
Harrison Phillips,DT,1,Vikings,15.0,2022,210
Dalvin Tomlinson,DT,1,Vikings,15.0,2022,210
Danielle Hunter,OLB,1,Vikings,15.0,2022,210
Eric Kendricks,LB,1,Vikings,15.0,2022,210
Jordan Hicks,LB,1,Vikings,15.0,2022,210
Za'Darius Smith,LB,1,Vikings,15.0,2022,210
Patrick Peterson,CB,1,Vikings,15.0,2022,210
Duke Shelley,CB,1,Vikings,15.0,2022,210
Chandon Sullivan,CB,1,Vikings,15.0,2022,210
Harrison Smith,S,1,Vikings,15.0,2022,210
Camryn Bynum,S,1,Vikings,15.0,2022,210
