Quarter,Time,Down,ToGo,Location,ATL,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,,16.0,2022,226
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 61 yards, returned by Justice Hill for 24 yards (tackle by KhaDarel Hodge and Mike Ford)",0.0,0.81,16.0,2022,226
1.0,14:54,1.0,10.0,BAL 28,0.0,0.0,J.K. Dobbins right end for 11 yards (tackle by Rashaan Evans),0.81,1.53,16.0,2022,226
1.0,14:19,1.0,10.0,BAL 39,0.0,0.0,Tyler Huntley pass incomplete short left intended for Mark Andrews,1.53,0.99,16.0,2022,226
1.0,14:16,2.0,10.0,BAL 39,0.0,0.0,J.K. Dobbins left guard for 4 yards (tackle by Grady Jarrett),0.99,0.83,16.0,2022,226
1.0,13:41,3.0,6.0,BAL 43,0.0,0.0,Tyler Huntley pass complete short left to Justice Hill for 4 yards (tackle by Mykal Walker),0.83,-0.26,16.0,2022,226
1.0,13:10,4.0,2.0,BAL 47,0.0,0.0,Jordan Stout punts 41 yards out of bounds,-0.26,0.35,16.0,2022,226
1.0,13:02,1.0,10.0,ATL 12,0.0,0.0,Desmond Ridder pass complete short middle to Olamide Zaccheaus for 8 yards (tackle by Justin Madubuike),-0.35,0.29,16.0,2022,226
1.0,12:24,2.0,2.0,ATL 20,0.0,0.0,Cordarrelle Patterson right end for no gain (tackle by Broderick Washington and Patrick Queen),0.29,-0.48,16.0,2022,226
1.0,11:43,3.0,2.0,ATL 20,0.0,0.0,"Desmond Ridder aborted snap (tackle by Justin Madubuike), recovered by Desmond Ridder at ATL-21",-0.48,-1.96,16.0,2022,226
1.0,10:52,4.0,1.0,ATL 21,0.0,0.0,"Bradley Pinion punts 38 yards, returned by James Proche for 9 yards (tackle by Troy Andersen)",-1.96,-2.26,16.0,2022,226
