Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Isaac Seumalo,G,71,100%,0,0%,6,19%,0,Eagles,16.0,2022,235
Jordan Mailata,T,71,100%,0,0%,6,19%,0,Eagles,16.0,2022,235
Landon Dickerson,G,71,100%,0,0%,6,19%,0,Eagles,16.0,2022,235
Gardner Minshew II,QB,71,100%,0,0%,0,0%,0,Eagles,16.0,2022,235
Jason Kelce,C,71,100%,0,0%,0,0%,0,Eagles,16.0,2022,235
Dallas Goedert,TE,67,94%,0,0%,0,0%,0,Eagles,16.0,2022,235
DeVonta Smith,WR,66,93%,0,0%,0,0%,0,Eagles,16.0,2022,235
A.J. Brown,WR,65,92%,0,0%,0,0%,0,Eagles,16.0,2022,235
Lane Johnson,T,60,85%,0,0%,0,0%,0,Eagles,16.0,2022,235
Quez Watkins,WR,51,72%,0,0%,0,0%,0,Eagles,16.0,2022,235
Miles Sanders,RB,38,54%,0,0%,0,0%,0,Eagles,16.0,2022,235
Kenneth Gainwell,RB,30,42%,0,0%,0,0%,0,Eagles,16.0,2022,235
Jack Stoll,TE,16,23%,0,0%,15,48%,0,Eagles,16.0,2022,235
Zach Pascal,WR,12,17%,0,0%,16,52%,0,Eagles,16.0,2022,235
Jack Driscoll,T,11,15%,0,0%,6,19%,0,Eagles,16.0,2022,235
Grant Calcaterra,TE,7,10%,0,0%,4,13%,0,Eagles,16.0,2022,235
Boston Scott,RB,3,4%,0,0%,9,29%,0,Eagles,16.0,2022,235
Marcus Epps,SS,0,0%,73,100%,15,48%,0,Eagles,16.0,2022,235
Darius Slay,CB,0,0%,72,99%,0,0%,0,Eagles,16.0,2022,235
James Bradberry,CB,0,0%,72,99%,0,0%,0,Eagles,16.0,2022,235
Reed Blankenship,SS,0,0%,69,95%,1,3%,0,Eagles,16.0,2022,235
T.J. Edwards,LB,0,0%,69,95%,0,0%,0,Eagles,16.0,2022,235
Haason Reddick,LB,0,0%,59,81%,0,0%,0,Eagles,16.0,2022,235
Javon Hargrave,DT,0,0%,55,75%,6,19%,0,Eagles,16.0,2022,235
Josh Sweat,DE,0,0%,50,68%,8,26%,0,Eagles,16.0,2022,235
Kyzir White,LB,0,0%,50,68%,0,0%,0,Eagles,16.0,2022,235
Fletcher Cox,DT,0,0%,50,68%,0,0%,0,Eagles,16.0,2022,235
Josiah Scott,CB,0,0%,42,58%,17,55%,0,Eagles,16.0,2022,235
Linval Joseph,NT,0,0%,36,49%,0,0%,0,Eagles,16.0,2022,235
Brandon Graham,DE,0,0%,29,40%,8,26%,0,Eagles,16.0,2022,235
Ndamukong Suh,DE,0,0%,22,30%,0,0%,0,Eagles,16.0,2022,235
Avonte Maddox,CB,0,0%,19,26%,0,0%,0,Eagles,16.0,2022,235
Milton Williams,DT,0,0%,13,18%,8,26%,0,Eagles,16.0,2022,235
Jordan Davis,DT,0,0%,9,12%,5,16%,0,Eagles,16.0,2022,235
Patrick Johnson,LB,0,0%,8,11%,25,81%,0,Eagles,16.0,2022,235
K'Von Wallace,SS,0,0%,5,7%,25,81%,0,Eagles,16.0,2022,235
Nakobe Dean,LB,0,0%,1,1%,25,81%,0,Eagles,16.0,2022,235
Zech McPhearson,CB,0,0%,0,0%,25,81%,0,Eagles,16.0,2022,235
Shaun Bradley,LB,0,0%,0,0%,25,81%,0,Eagles,16.0,2022,235
Josh Jobe,CB,0,0%,0,0%,25,81%,0,Eagles,16.0,2022,235
Christian Elliss,LB,0,0%,0,0%,17,55%,0,Eagles,16.0,2022,235
Jake Elliott,K,0,0%,0,0%,13,42%,0,Eagles,16.0,2022,235
Andre Dillard,T,0,0%,0,0%,6,19%,0,Eagles,16.0,2022,235
Cam Jurgens,C,0,0%,0,0%,6,19%,0,Eagles,16.0,2022,235
Brett Kern,P,0,0%,0,0%,6,19%,0,Eagles,16.0,2022,235
Rick Lovato,LS,0,0%,0,0%,6,19%,0,Eagles,16.0,2022,235
Britain Covey,WR,0,0%,0,0%,1,3%,0,Eagles,16.0,2022,235
