Player,Tm,Def Interceptions Int,Def Interceptions Yds,Def Interceptions TD,Def Interceptions Lng,Def Interceptions PD,Sk,Tackles Comb,Tackles Solo,Tackles Ast,Tackles TFL,Tackles QBHits,Fumbles FR,Fumbles Yds,Fumbles TD,Fumbles FF,week,year,game_id
Darrell Taylor,SEA,0,0,0,0,0,1.0,4,2,2,1,1,0,0,0,0,16.0,2022,232
Cody Barton,SEA,0,0,0,0,0,0.0,9,5,4,0,0,0,0,0,0,16.0,2022,232
Jordyn Brooks,SEA,0,0,0,0,1,0.0,8,5,3,0,0,0,0,0,0,16.0,2022,232
Shelby Harris,SEA,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0,16.0,2022,232
Poona Ford,SEA,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,16.0,2022,232
Myles Adams,SEA,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,16.0,2022,232
Michael Jackson,SEA,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0,16.0,2022,232
Boye Mafe,SEA,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0,16.0,2022,232
Teez Tabor,SEA,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,16.0,2022,232
Coby Bryant,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,16.0,2022,232
Riq Woolen,SEA,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0,16.0,2022,232
Nick Bellore,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,16.0,2022,232
L.J. Collier,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,16.0,2022,232
Quandre Diggs,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,16.0,2022,232
Travis Homer,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,16.0,2022,232
Uchenna Nwosu,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,16.0,2022,232
Johnathan Abram,SEA,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,16.0,2022,232
Bruce Irvin,SEA,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,16.0,2022,232
Quinton Jefferson,SEA,0,0,0,0,1,0.0,0,0,0,0,1,0,0,0,0,16.0,2022,232
Juan Thornhill,KAN,1,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0,16.0,2022,232
Chris Jones,KAN,0,0,0,0,0,1.0,4,2,2,2,4,0,0,0,0,16.0,2022,232
George Karlaftis III,KAN,0,0,0,0,1,1.0,1,1,0,1,1,0,0,0,0,16.0,2022,232
Nick Bolton,KAN,0,0,0,0,0,0.0,18,8,10,0,0,0,0,0,0,16.0,2022,232
Willie Gay Jr.,KAN,0,0,0,0,2,0.0,9,2,7,1,0,0,0,0,0,16.0,2022,232
Justin Reid,KAN,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0,16.0,2022,232
L'Jarius Sneed,KAN,0,0,0,0,0,0.0,7,5,2,1,0,0,0,0,0,16.0,2022,232
Trent McDuffie,KAN,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,16.0,2022,232
Bryan Cook,KAN,0,0,0,0,0,0.0,4,3,1,0,1,0,0,0,0,16.0,2022,232
Michael Danna,KAN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,16.0,2022,232
Derrick Nnadi,KAN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,16.0,2022,232
Leo Chenal,KAN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,16.0,2022,232
Frank Clark,KAN,0,0,0,0,0,0.0,2,2,0,2,0,0,0,0,0,16.0,2022,232
Carlos Dunlap,KAN,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0,16.0,2022,232
Jaylen Watson,KAN,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0,16.0,2022,232
Joshua Williams,KAN,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0,16.0,2022,232
Deon Bush,KAN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,16.0,2022,232
Jack Cochrane,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,16.0,2022,232
Noah Gray,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,16.0,2022,232
Nazeeh Johnson,KAN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,16.0,2022,232
Justin Watson,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,16.0,2022,232
Brandon Williams,KAN,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,16.0,2022,232
