Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Geno Smith,SEA,3,16,0,9,16.0,2022,232
Kenneth Walker III,SEA,26,107,0,20,16.0,2022,232
DeeJay Dallas,SEA,2,10,0,8,16.0,2022,232
D.K. Metcalf,SEA,0,0,0,0,16.0,2022,232
Colby Parkinson,SEA,0,0,0,0,16.0,2022,232
Laquon Treadwell,SEA,0,0,0,0,16.0,2022,232
Will Dissly,SEA,0,0,0,0,16.0,2022,232
Noah Fant,SEA,0,0,0,0,16.0,2022,232
Penny Hart,SEA,0,0,0,0,16.0,2022,232
Marquise Goodwin,SEA,0,0,0,0,16.0,2022,232
Patrick Mahomes,KAN,2,8,1,5,16.0,2022,232
Isiah Pacheco,KAN,14,58,0,8,16.0,2022,232
Jerick McKinnon,KAN,5,7,0,5,16.0,2022,232
Ronald Jones II,KAN,1,4,0,4,16.0,2022,232
Travis Kelce,KAN,0,0,0,0,16.0,2022,232
JuJu Smith-Schuster,KAN,0,0,0,0,16.0,2022,232
Noah Gray,KAN,0,0,0,0,16.0,2022,232
Kadarius Toney,KAN,0,0,0,0,16.0,2022,232
Skyy Moore,KAN,0,0,0,0,16.0,2022,232
Marquez Valdes-Scantling,KAN,0,0,0,0,16.0,2022,232
Justin Watson,KAN,0,0,0,0,16.0,2022,232
