Quarter,Time,Tm,Detail,GNB,MIA,week,year,game_id
1.0,11:10,Dolphins,Jason Sanders 46 yard field goal,0,3,16.0,2022,237
,9:26,Packers,Mason Crosby 36 yard field goal,3,3,16.0,2022,237
,9:08,Dolphins,Jaylen Waddle 84 yard pass from Tua Tagovailoa (Jason Sanders kick),3,10,16.0,2022,237
,4:10,Packers,Marcedes Lewis 1 yard pass from Aaron Rodgers (Mason Crosby kick),10,10,16.0,2022,237
2.0,10:52,Dolphins,Jeff Wilson 1 yard rush (Jason Sanders kick),10,17,16.0,2022,237
,4:18,Dolphins,Jason Sanders 34 yard field goal,10,20,16.0,2022,237
,0:02,Packers,Mason Crosby 46 yard field goal,13,20,16.0,2022,237
3.0,7:53,Packers,AJ Dillon 1 yard rush (Mason Crosby kick),20,20,16.0,2022,237
4.0,11:45,Packers,Mason Crosby 28 yard field goal,23,20,16.0,2022,237
,2:02,Packers,Mason Crosby 26 yard field goal,26,20,16.0,2022,237
