Quarter,Time,Down,ToGo,Location,CIN,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Bengals to receive the opening kickoff.",,,16.0,2022,229
1.0,15:00,,,NWE 35,0.0,0.0,"Tristan Vizcaino kicks off 61 yards, returned by Trayveon Williams for 18 yards (tackle by Pierre Strong)",0.0,0.41,16.0,2022,229
1.0,14:56,1.0,10.0,CIN 22,0.0,0.0,Joe Burrow pass complete short right to Mitchell Wilcox for 8 yards (tackle by Marcus Jones),0.41,0.95,16.0,2022,229
1.0,14:26,2.0,2.0,CIN 30,0.0,0.0,Joe Burrow pass complete deep right to Tee Higgins for 39 yards (tackle by Marcus Jones),0.95,3.51,16.0,2022,229
1.0,13:44,,,,,,Timeout #1 by New England Patriots,,,16.0,2022,229
1.0,13:44,1.0,10.0,NWE 31,0.0,0.0,Joe Burrow pass complete short left to Joe Mixon for 17 yards (tackle by Jonathan Jones),3.51,4.65,16.0,2022,229
1.0,13:05,1.0,10.0,NWE 14,0.0,0.0,Joe Mixon up the middle for 5 yards (tackle by Davon Godchaux),4.65,4.9,16.0,2022,229
1.0,12:31,2.0,5.0,NWE 9,6.0,0.0,"Joe Burrow pass complete short right to Tee Higgins for 9 yards, touchdown",4.9,7.0,16.0,2022,229
1.0,12:24,,,NWE 15,6.0,0.0,Evan McPherson kicks extra point no good,0.0,-1.0,16.0,2022,229
1.0,12:24,,,CIN 35,6.0,0.0,"Evan McPherson kicks off 60 yards, returned by Marcus Jones for 21 yards (tackle by Daxton Hill)",0.0,0.67,16.0,2022,229
1.0,12:18,1.0,10.0,NWE 26,6.0,0.0,Rhamondre Stevenson left end for 2 yards (tackle by Trey Hendrickson),0.67,0.4,16.0,2022,229
1.0,11:59,2.0,8.0,NWE 28,6.0,0.0,Rhamondre Stevenson up the middle for 4 yards (tackle by B.J. Hill and Cameron Sample),0.4,0.23,16.0,2022,229
1.0,11:27,3.0,4.0,NWE 32,6.0,0.0,Mac Jones sacked by Logan Wilson for no gain,0.23,-1.24,16.0,2022,229
1.0,10:47,4.0,4.0,NWE 32,6.0,0.0,"Michael Palardy punts 45 yards, returned by Trent Taylor for 18 yards (tackle by Ja'Whaun Bentley)",-1.24,-1.66,16.0,2022,229
1.0,10:35,1.0,10.0,CIN 41,6.0,0.0,Joe Mixon up the middle for 5 yards (tackle by Lawrence Guy and Deatrich Wise),1.66,1.8,16.0,2022,229
1.0,10:00,2.0,5.0,CIN 46,6.0,0.0,Joe Burrow pass complete short middle to Joe Mixon for 6 yards (tackle by Ja'Whaun Bentley),1.8,2.39,16.0,2022,229
1.0,9:23,1.0,10.0,NWE 48,6.0,0.0,Joe Burrow pass complete short left to Samaje Perine for 5 yards (tackle by Jahlani Tavai),2.39,2.52,16.0,2022,229
1.0,8:42,2.0,5.0,NWE 43,6.0,0.0,Samaje Perine right guard for 2 yards (tackle by Deatrich Wise),2.52,2.08,16.0,2022,229
1.0,8:01,3.0,3.0,NWE 41,6.0,0.0,Joe Burrow scrambles left end for 5 yards (tackle by Kyle Dugger),2.08,3.18,16.0,2022,229
1.0,7:20,1.0,10.0,NWE 36,6.0,0.0,Joe Burrow pass complete short left to Joe Mixon for 3 yards (tackle by Ja'Whaun Bentley),3.18,3.04,16.0,2022,229
1.0,6:30,2.0,7.0,NWE 33,6.0,0.0,"Penalty on CIN: Delay of Game, 5 yards (accepted) (no play)",3.04,2.37,16.0,2022,229
1.0,6:24,2.0,12.0,NWE 38,6.0,0.0,Joe Burrow pass complete short left to Tee Higgins for 11 yards (tackle by Ja'Whaun Bentley),2.37,3.14,16.0,2022,229
1.0,5:44,3.0,1.0,NWE 27,6.0,0.0,Joe Mixon left tackle for 4 yards (tackle by Adrian Phillips and Kyle Dugger),3.14,4.04,16.0,2022,229
1.0,5:23,1.0,10.0,NWE 23,12.0,0.0,"Joe Burrow pass complete deep middle to Trenton Irwin for 23 yards, touchdown",4.04,7.0,16.0,2022,229
1.0,5:16,,,NWE 15,12.0,0.0,"Evan McPherson kicks extra point no good. Penalty on Daniel Ekuale: Unnecessary Roughness / Defense, 1 yard (accepted) (no play)",0.0,1.0,16.0,2022,229
1.0,5:16,,,NWE 1,12.0,0.0,"Two Point Attempt: Samaje Perine rushes, conversion fails.",1.0,-1.0,16.0,2022,229
1.0,5:16,,,CIN 35,12.0,0.0,"Evan McPherson kicks off 60 yards, returned by Marcus Jones for 25 yards (tackle by Joe Bachie and Samaje Perine)",0.0,0.94,16.0,2022,229
1.0,5:10,1.0,10.0,NWE 30,12.0,0.0,Rhamondre Stevenson left guard for 6 yards (tackle by Vonn Bell and B.J. Hill),0.94,1.2,16.0,2022,229
1.0,4:34,2.0,4.0,NWE 36,12.0,0.0,Rhamondre Stevenson up the middle for -2 yards (tackle by Jessie Bates),1.2,0.23,16.0,2022,229
1.0,4:03,3.0,6.0,NWE 34,12.0,0.0,Mac Jones pass incomplete short middle intended for Rhamondre Stevenson,0.23,-1.11,16.0,2022,229
1.0,3:49,4.0,6.0,NWE 34,12.0,0.0,"Michael Palardy aborted snap, recovered by Michael Palardy at NE-34 Michael Palardy punts 22 yards out of bounds. Penalty on Jahlani Tavai: Ineligible Downfield Kick, 5 yards (accepted)",-1.11,-2.19,16.0,2022,229
1.0,3:49,1.0,10.0,CIN 49,12.0,0.0,Joe Burrow pass complete short right to Devin Asiasi for 6 yards (tackle by Marcus Jones),2.19,2.46,16.0,2022,229
1.0,3:12,2.0,4.0,NWE 45,12.0,0.0,Joe Mixon up the middle for no gain (tackle by Jahlani Tavai),2.46,1.75,16.0,2022,229
1.0,2:23,3.0,4.0,NWE 45,12.0,0.0,"Joe Burrow pass complete deep left to Trenton Irwin for 18 yards (tackle by Devin McCourty). Penalty on Matt Judon: Roughing the Passer, 14 yards (accepted)",1.75,4.71,16.0,2022,229
1.0,2:04,1.0,10.0,NWE 13,12.0,0.0,"Joe Burrow pass incomplete short middle. Penalty on Cordell Volson: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",4.71,4.04,16.0,2022,229
1.0,1:58,1.0,20.0,NWE 23,12.0,0.0,Samaje Perine up the middle for 3 yards (tackle by Ja'Whaun Bentley and Matt Judon),4.04,3.21,16.0,2022,229
1.0,1:21,2.0,17.0,NWE 20,12.0,0.0,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase,3.21,2.54,16.0,2022,229
1.0,1:16,3.0,17.0,NWE 20,12.0,0.0,Joe Burrow pass complete deep right to Ja'Marr Chase for 18 yards (tackle by Marcus Jones),2.54,6.74,16.0,2022,229
1.0,0:42,1.0,2.0,NWE 2,12.0,0.0,Joe Burrow pass incomplete short middle,6.74,5.72,16.0,2022,229
