Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Ja'Marr Chase,CIN,11,8,79,0,6.0,39,4.9,40,5.0,9.8,2,4.0,1,9.1,1,54.7,16.0,2022,229
Tee Higgins,CIN,9,8,128,1,4.0,93,11.6,35,4.4,10.8,0,,1,11.1,0,155.8,16.0,2022,229
Joe Mixon,CIN,9,7,43,0,2.0,0,0.0,43,6.1,1.1,0,,1,11.1,0,86.6,16.0,2022,229
Mitchell Wilcox,CIN,6,6,35,0,1.0,19,3.2,16,2.7,3.2,0,,0,0.0,0,91.0,16.0,2022,229
Tyler Boyd,CIN,4,3,21,0,2.0,10,3.3,11,3.7,3.3,0,,0,0.0,1,46.9,16.0,2022,229
Trenton Irwin,CIN,4,3,45,2,3.0,45,15.0,0,0.0,17.5,0,,1,25.0,0,151.0,16.0,2022,229
Samaje Perine,CIN,4,3,19,0,,3,1.0,16,5.3,2.8,0,,0,0.0,0,84.4,16.0,2022,229
Devin Asiasi,CIN,2,2,5,0,,5,2.5,0,0.0,2.5,0,,0,0.0,0,79.2,16.0,2022,229
Kendrick Bourne,NWE,9,6,100,1,5.0,97,16.2,3,0.5,22.8,0,,0,0.0,0,141.0,16.0,2022,229
Jakobi Meyers,NWE,7,6,83,1,3.0,64,10.7,19,3.2,11.0,0,,0,0.0,0,155.7,16.0,2022,229
Jonnu Smith,NWE,4,3,21,0,,9,3.0,12,4.0,3.5,0,,0,0.0,0,86.5,16.0,2022,229
Rhamondre Stevenson,NWE,5,2,3,0,0.0,-9,-4.5,12,6.0,-0.2,0,,1,20.0,0,47.9,16.0,2022,229
Pierre Strong,NWE,2,2,10,0,,5,2.5,5,2.5,2.5,0,,0,0.0,0,87.5,16.0,2022,229
Marcus Jones,NWE,1,1,15,0,1.0,-3,-3.0,18,18.0,-3.0,1,1.0,0,0.0,0,118.7,16.0,2022,229
Tyquan Thornton,NWE,3,1,8,0,,4,4.0,4,4.0,32.3,0,,1,33.3,0,42.4,16.0,2022,229
