Unnamed: 0,WAS,SFO,week,year,game_id
First Downs,21,14,16.0,2022,234
Rush-Yds-TDs,33-79-0,26-153-2,16.0,2022,234
Cmp-Att-Yd-TD-INT,25-34-289-3-1,15-22-234-2-1,16.0,2022,234
Sacked-Yards,2-19,3-16,16.0,2022,234
Net Pass Yards,270,218,16.0,2022,234
Total Yards,349,371,16.0,2022,234
Fumbles-Lost,1-1,0-0,16.0,2022,234
Turnovers,2,1,16.0,2022,234
Penalties-Yards,6-51,4-25,16.0,2022,234
Third Down Conv.,7-13,4-11,16.0,2022,234
Fourth Down Conv.,0-2,1-2,16.0,2022,234
Time of Possession,33:35,26:25,16.0,2022,234
