Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Brock Purdy,SFO,0,0,17.0,2022,252
Christian McCaffrey,SFO,0,0,17.0,2022,252
Brandon Aiyuk,SFO,0,0,17.0,2022,252
Jordan Mason,SFO,0,0,17.0,2022,252
Danny Gray,SFO,0,0,17.0,2022,252
Kyle Juszczyk,SFO,0,0,17.0,2022,252
Tyrion Davis-Price,SFO,0,0,17.0,2022,252
Jauan Jennings,SFO,0,0,17.0,2022,252
Ray-Ray McCloud,SFO,0,0,17.0,2022,252
George Kittle,SFO,0,0,17.0,2022,252
Jarrett Stidham,LVR,1,0,17.0,2022,252
Josh Jacobs,LVR,0,0,17.0,2022,252
Brandon Bolden,LVR,0,0,17.0,2022,252
Davante Adams,LVR,0,0,17.0,2022,252
Darren Waller,LVR,0,0,17.0,2022,252
Foster Moreau,LVR,0,0,17.0,2022,252
Mack Hollins,LVR,0,0,17.0,2022,252
Hunter Renfrow,LVR,0,0,17.0,2022,252
