Unnamed: 0,DAL,TEN,week,year,game_id
First Downs,26,17,17.0,2022,241
Rush-Yds-TDs,32-87-1,24-97-0,17.0,2022,241
Cmp-Att-Yd-TD-INT,29-41-282-2-2,20-39-232-1-1,17.0,2022,241
Sacked-Yards,1-8,2-12,17.0,2022,241
Net Pass Yards,274,220,17.0,2022,241
Total Yards,361,317,17.0,2022,241
Fumbles-Lost,1-1,2-1,17.0,2022,241
Turnovers,3,2,17.0,2022,241
Penalties-Yards,3-35,10-124,17.0,2022,241
Third Down Conv.,8-13,7-16,17.0,2022,241
Fourth Down Conv.,0-0,1-2,17.0,2022,241
Time of Possession,33:26,26:34,17.0,2022,241
