Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Deshaun Watson,CLE,8,31,0,21,17.0,2022,245
Nick Chubb,CLE,14,104,0,35,17.0,2022,245
Jerome Ford,CLE,5,9,0,9,17.0,2022,245
Jacoby Brissett,CLE,1,2,0,2,17.0,2022,245
Amari Cooper,CLE,0,0,0,0,17.0,2022,245
David Njoku,CLE,0,0,0,0,17.0,2022,245
Harrison Bryant,CLE,0,0,0,0,17.0,2022,245
Donovan Peoples-Jones,CLE,0,0,0,0,17.0,2022,245
Jack Conklin,CLE,0,0,0,0,17.0,2022,245
Kareem Hunt,CLE,2,0,0,4,17.0,2022,245
Carson Wentz,WAS,3,7,1,4,17.0,2022,245
Brian Robinson Jr.,WAS,24,87,0,14,17.0,2022,245
Jonathan Williams,WAS,9,30,0,12,17.0,2022,245
Terry McLaurin,WAS,1,12,0,12,17.0,2022,245
Logan Thomas,WAS,0,0,0,0,17.0,2022,245
Jahan Dotson,WAS,0,0,0,0,17.0,2022,245
Cam Sims,WAS,0,0,0,0,17.0,2022,245
Curtis Samuel,WAS,0,0,0,0,17.0,2022,245
