Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Anthony Brown,BAL,19,44,286,0,2,4,10,47,46.2,18.0,2022,259
Kenyan Drake,BAL,0,0,0,0,0,0,0,0,,18.0,2022,259
Justice Hill,BAL,0,0,0,0,0,0,0,0,,18.0,2022,259
Gus Edwards,BAL,0,0,0,0,0,0,0,0,,18.0,2022,259
Isaiah Likely,BAL,0,0,0,0,0,0,0,0,,18.0,2022,259
Sammy Watkins,BAL,0,0,0,0,0,0,0,0,,18.0,2022,259
Charlie Kolar,BAL,0,0,0,0,0,0,0,0,,18.0,2022,259
Demarcus Robinson,BAL,0,0,0,0,0,0,0,0,,18.0,2022,259
Tylan Wallace,BAL,0,0,0,0,0,0,0,0,,18.0,2022,259
Josh Oliver,BAL,0,0,0,0,0,0,0,0,,18.0,2022,259
James Proche,BAL,0,0,0,0,0,0,0,0,,18.0,2022,259
Joe Burrow,CIN,25,42,215,1,0,2,13,33,81.0,18.0,2022,259
Joe Mixon,CIN,0,0,0,0,0,0,0,0,,18.0,2022,259
Samaje Perine,CIN,0,0,0,0,0,0,0,0,,18.0,2022,259
Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,18.0,2022,259
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,18.0,2022,259
Hayden Hurst,CIN,0,0,0,0,0,0,0,0,,18.0,2022,259
Trenton Irwin,CIN,0,0,0,0,0,0,0,0,,18.0,2022,259
Tee Higgins,CIN,0,0,0,0,0,0,0,0,,18.0,2022,259
