Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,week,year,game_id
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,,,
Jalen Ramsey,LAR,2,28,0,28,3,0.0,5,5,0,0,0,0,0,0,0,18.0,2022,270
Quentin Lake,LAR,0,0,0,0,1,1.0,8,6,2,1,0,0,0,0,0,18.0,2022,270
Leonard Floyd,LAR,0,0,0,0,0,1.0,5,4,1,1,3,0,0,0,0,18.0,2022,270
Michael Hoecht,LAR,0,0,0,0,0,1.0,5,3,2,1,1,0,0,0,0,18.0,2022,270
Bobby Wagner,LAR,0,0,0,0,0,0.0,7,7,0,1,1,0,0,0,0,18.0,2022,270
Marquise Copeland,LAR,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0,18.0,2022,270
Troy Hill,LAR,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,0,18.0,2022,270
Earnest Brown IV,LAR,0,0,0,0,0,0.0,5,3,2,1,0,0,0,0,0,18.0,2022,270
Ernest Jones,LAR,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0,18.0,2022,270
Taylor Rapp,LAR,0,0,0,0,1,0.0,5,5,0,2,0,0,0,0,0,18.0,2022,270
Cobie Durant,LAR,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,18.0,2022,270
Russ Yeast,LAR,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0,18.0,2022,270
Keir Thomas,LAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,18.0,2022,270
Jonah Williams,LAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,18.0,2022,270
Robert Rochell,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2022,270
Quandre Diggs,SEA,1,4,0,4,1,0.0,4,3,1,0,0,0,0,0,0,18.0,2022,270
Bruce Irvin,SEA,0,0,0,0,0,1.5,3,2,1,1,2,0,0,0,0,18.0,2022,270
Coby Bryant,SEA,0,0,0,0,0,1.0,6,3,3,1,1,0,0,0,0,18.0,2022,270
Boye Mafe,SEA,0,0,0,0,0,1.0,3,2,1,0,1,0,0,0,0,18.0,2022,270
Darrell Taylor,SEA,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0,18.0,2022,270
Uchenna Nwosu,SEA,0,0,0,0,1,0.5,6,4,2,2,4,0,0,0,0,18.0,2022,270
Cody Barton,SEA,0,0,0,0,1,0.0,7,6,1,0,0,0,0,0,0,18.0,2022,270
Shelby Harris,SEA,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0,18.0,2022,270
Johnathan Abram,SEA,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,18.0,2022,270
Michael Jackson,SEA,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0,18.0,2022,270
Poona Ford,SEA,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,18.0,2022,270
Alexander Johnson,SEA,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0,18.0,2022,270
Tanner Muse,SEA,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,18.0,2022,270
Riq Woolen,SEA,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0,18.0,2022,270
Quinton Jefferson,SEA,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0,18.0,2022,270
Nick Bellore,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2022,270
Godwin Igwebuike,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2022,270
D.K. Metcalf,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2022,270
Jon Rhattigan,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2022,270
Teez Tabor,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,18.0,2022,270
Kenneth Walker III,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2022,270
Dareke Young,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2022,270
