Player,Pos,home_team,team,week,year,game_id
Josh Allen,QB,1,Bills,18.0,2022,258
Devin Singletary,RB,1,Bills,18.0,2022,258
Gabriel Davis,WR,1,Bills,18.0,2022,258
Stefon Diggs,WR,1,Bills,18.0,2022,258
Isaiah McKenzie,WR,1,Bills,18.0,2022,258
Dawson Knox,TE,1,Bills,18.0,2022,258
Ryan Bates,OL,1,Bills,18.0,2022,258
Spencer Brown,T,1,Bills,18.0,2022,258
Dion Dawkins,T,1,Bills,18.0,2022,258
Rodger Saffold,G,1,Bills,18.0,2022,258
Mitch Morse,C,1,Bills,18.0,2022,258
Shaq Lawson,DE,1,Bills,18.0,2022,258
Gregory Rousseau,DE,1,Bills,18.0,2022,258
DaQuan Jones,DT,1,Bills,18.0,2022,258
Ed Oliver,DT,1,Bills,18.0,2022,258
Matt Milano,LB,1,Bills,18.0,2022,258
Tremaine Edmunds,LB,1,Bills,18.0,2022,258
Taron Johnson,CB,1,Bills,18.0,2022,258
Dane Jackson,CB,1,Bills,18.0,2022,258
Tre'Davious White,CB,1,Bills,18.0,2022,258
Dean Marlowe,FS,1,Bills,18.0,2022,258
Jordan Poyer,S,1,Bills,18.0,2022,258
