Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Mac Jones,NWE,0,0,18.0,2022,258
Rhamondre Stevenson,NWE,1,0,18.0,2022,258
Damien Harris,NWE,0,0,18.0,2022,258
DeVante Parker,NWE,0,0,18.0,2022,258
Kendrick Bourne,NWE,0,0,18.0,2022,258
Hunter Henry,NWE,0,0,18.0,2022,258
Jakobi Meyers,NWE,0,0,18.0,2022,258
Tyquan Thornton,NWE,0,0,18.0,2022,258
Nelson Agholor,NWE,0,0,18.0,2022,258
Josh Allen,BUF,0,0,18.0,2022,258
James Cook,BUF,0,0,18.0,2022,258
Devin Singletary,BUF,1,1,18.0,2022,258
Stefon Diggs,BUF,0,0,18.0,2022,258
John Brown,BUF,0,0,18.0,2022,258
Gabriel Davis,BUF,0,0,18.0,2022,258
Khalil Shakir,BUF,0,0,18.0,2022,258
Isaiah McKenzie,BUF,0,0,18.0,2022,258
Dawson Knox,BUF,0,0,18.0,2022,258
