#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,12:50,CIN 21,17,7:49,63,Field Goal,1,Bengals,18.0,2022,259
2,1,4:49,BAL 48,8,3:38,48,Touchdown,1,Bengals,18.0,2022,259
3,2,14:55,BAL 32,3,0:43,32,Touchdown,1,Bengals,18.0,2022,259
4,2,8:52,CIN 29,5,2:47,12,Punt,1,Bengals,18.0,2022,259
5,2,1:57,CIN 27,4,1:10,12,Punt,1,Bengals,18.0,2022,259
6,3,15:00,CIN 25,3,0:49,3,Punt,1,Bengals,18.0,2022,259
7,3,12:23,CIN 9,2,0:57,-5,Fumble,1,Bengals,18.0,2022,259
8,3,10:34,CIN 25,8,4:07,67,Field Goal,1,Bengals,18.0,2022,259
9,3,1:59,CIN 25,3,1:02,9,Punt,1,Bengals,18.0,2022,259
10,4,12:17,CIN 40,3,1:38,-3,Punt,1,Bengals,18.0,2022,259
11,4,9:23,,4,2:05,9,Downs,1,Bengals,18.0,2022,259
12,4,5:55,CIN 45,3,2:45,-4,Punt,1,Bengals,18.0,2022,259
13,4,2:56,CIN 32,3,1:49,6,Punt,1,Bengals,18.0,2022,259
