Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Austin Ekeler,LAC,11,34,0,2.0,23,2.1,11,1.0,0,,18.0,2022,268
Joshua Kelley,LAC,5,18,0,1.0,13,2.6,5,1.0,0,,18.0,2022,268
Larry Rountree,LAC,3,4,0,,3,1.0,1,0.3,0,,18.0,2022,268
Justin Herbert,LAC,2,-1,0,0.0,-1,-0.5,0,0.0,0,,18.0,2022,268
Chase Daniel,LAC,1,4,0,0.0,4,4.0,0,0.0,0,,18.0,2022,268
Latavius Murray,DEN,15,103,1,6.0,81,5.4,22,1.5,0,,18.0,2022,268
Chase Edmonds,DEN,9,45,0,1.0,10,1.1,35,3.9,0,,18.0,2022,268
Russell Wilson,DEN,8,18,0,2.0,15,1.9,3,0.4,0,,18.0,2022,268
Jerry Jeudy,DEN,3,39,0,3.0,35,11.7,4,1.3,0,,18.0,2022,268
Tyler Badie,DEN,1,0,0,0.0,0,0.0,0,0.0,0,,18.0,2022,268
