Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Davis Webb,NYG,23,40,168,1,0,0,0,25,75.8,18.0,2022,269
Lawrence Cager,NYG,0,0,0,0,0,1,2,0,,18.0,2022,269
Jamie Gillan,NYG,0,0,0,0,0,1,11,0,,18.0,2022,269
Gary Brightwell,NYG,0,0,0,0,0,0,0,0,,18.0,2022,269
Matt Breida,NYG,0,0,0,0,0,0,0,0,,18.0,2022,269
Marcus Johnson,NYG,0,0,0,0,0,0,0,0,,18.0,2022,269
Kenny Golladay,NYG,0,0,0,0,0,0,0,0,,18.0,2022,269
Nick Vannett,NYG,0,0,0,0,0,0,0,0,,18.0,2022,269
Jalen Hurts,PHI,20,35,229,0,1,3,22,37,65.1,18.0,2022,269
Boston Scott,PHI,0,0,0,0,0,0,0,0,,18.0,2022,269
Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,18.0,2022,269
Miles Sanders,PHI,0,0,0,0,0,0,0,0,,18.0,2022,269
A.J. Brown,PHI,0,0,0,0,0,0,0,0,,18.0,2022,269
DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,18.0,2022,269
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,18.0,2022,269
Quez Watkins,PHI,0,0,0,0,0,0,0,0,,18.0,2022,269
