Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Matt Ryan,IND,0,0,0,0,0,2.0,2022,20
Jonathan Taylor,IND,1,1,9,0,9,2.0,2022,20
Ashton Dulin,IND,7,5,79,0,39,2.0,2022,20
Nyheim Hines,IND,5,4,37,0,19,2.0,2022,20
Dezmon Patmon,IND,6,2,24,0,17,2.0,2022,20
Mike Strachan,IND,3,1,23,0,23,2.0,2022,20
Kylen Granson,IND,2,2,14,0,8,2.0,2022,20
Mo Alie-Cox,IND,3,1,9,0,9,2.0,2022,20
Parris Campbell,IND,2,0,0,0,0,2.0,2022,20
Deon Jackson,IND,0,0,0,0,0,2.0,2022,20
Trevor Lawrence,JAX,0,0,0,0,0,2.0,2022,20
James Robinson,JAX,2,2,14,0,10,2.0,2022,20
Travis Etienne,JAX,3,3,33,0,14,2.0,2022,20
Jamal Agnew,JAX,1,0,0,0,0,2.0,2022,20
Christian Kirk,JAX,6,6,78,2,26,2.0,2022,20
Evan Engram,JAX,8,7,46,0,12,2.0,2022,20
Marvin Jones,JAX,5,3,33,0,13,2.0,2022,20
Zay Jones,JAX,4,3,23,0,10,2.0,2022,20
Dan Arnold,JAX,1,1,8,0,8,2.0,2022,20
