Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Joseph Noteboom,T,62,98%,0,0%,5,22%,1,Rams,2.0,2022,25
David Edwards,G,62,98%,0,0%,5,22%,1,Rams,2.0,2022,25
Rob Havenstein,T,62,98%,0,0%,5,22%,1,Rams,2.0,2022,25
Cooper Kupp,WR,62,98%,0,0%,2,9%,1,Rams,2.0,2022,25
Matthew Stafford,QB,62,98%,0,0%,0,0%,1,Rams,2.0,2022,25
Coleman Shelton,G,62,98%,0,0%,0,0%,1,Rams,2.0,2022,25
Tyler Higbee,TE,61,97%,0,0%,2,9%,1,Rams,2.0,2022,25
Alaric Jackson,T,60,95%,0,0%,5,22%,1,Rams,2.0,2022,25
Allen Robinson,WR,57,90%,0,0%,0,0%,1,Rams,2.0,2022,25
Ben Skowronek,WR,54,86%,0,0%,4,17%,1,Rams,2.0,2022,25
Darrell Henderson,RB,35,56%,0,0%,0,0%,1,Rams,2.0,2022,25
Cam Akers,RB,27,43%,0,0%,0,0%,1,Rams,2.0,2022,25
Brandon Powell,WR,6,10%,0,0%,11,48%,1,Rams,2.0,2022,25
Brycen Hopkins,TE,4,6%,0,0%,0,0%,1,Rams,2.0,2022,25
Bobby Evans,G,3,5%,0,0%,5,22%,1,Rams,2.0,2022,25
Tremayne Anchrum,T,2,3%,0,0%,0,0%,1,Rams,2.0,2022,25
Tutu Atwell,WR,2,3%,0,0%,0,0%,1,Rams,2.0,2022,25
Nick Scott,SS,1,2%,53,87%,8,35%,1,Rams,2.0,2022,25
Ernest Jones,LB,1,2%,48,79%,1,4%,1,Rams,2.0,2022,25
Michael Hoecht,DT,1,2%,1,2%,23,100%,1,Rams,2.0,2022,25
Jake Gervase,LB,1,2%,0,0%,18,78%,1,Rams,2.0,2022,25
Christian Rozeboom,LB,1,2%,0,0%,18,78%,1,Rams,2.0,2022,25
Terrell Burgess,FS,1,2%,0,0%,16,70%,1,Rams,2.0,2022,25
Jake Hummel,LB,1,2%,0,0%,14,61%,1,Rams,2.0,2022,25
Jake Funk,RB,1,2%,0,0%,12,52%,1,Rams,2.0,2022,25
Jacob Harris,WR,1,2%,0,0%,12,52%,1,Rams,2.0,2022,25
Matthew Orzech,LS,1,2%,0,0%,6,26%,1,Rams,2.0,2022,25
Jalen Ramsey,CB,0,0%,61,100%,4,17%,1,Rams,2.0,2022,25
Bobby Wagner,LB,0,0%,61,100%,0,0%,1,Rams,2.0,2022,25
Aaron Donald,DT,0,0%,55,90%,0,0%,1,Rams,2.0,2022,25
Taylor Rapp,FS,0,0%,50,82%,7,30%,1,Rams,2.0,2022,25
Greg Gaines,NT,0,0%,49,80%,0,0%,1,Rams,2.0,2022,25
David Long,CB,0,0%,46,75%,0,0%,1,Rams,2.0,2022,25
Leonard Floyd,LB,0,0%,43,70%,0,0%,1,Rams,2.0,2022,25
A'Shawn Robinson,DT,0,0%,39,64%,2,9%,1,Rams,2.0,2022,25
Jordan Fuller,SS,0,0%,36,59%,11,48%,1,Rams,2.0,2022,25
Terrell Lewis,LB,0,0%,30,49%,4,17%,1,Rams,2.0,2022,25
Justin Hollins,LB,0,0%,30,49%,0,0%,1,Rams,2.0,2022,25
Cobie Durant,DB,0,0%,23,38%,9,39%,1,Rams,2.0,2022,25
Troy Hill,CB,0,0%,21,34%,0,0%,1,Rams,2.0,2022,25
Marquise Copeland,DT,0,0%,13,21%,2,9%,1,Rams,2.0,2022,25
Jonah Williams,DE,0,0%,7,11%,11,48%,1,Rams,2.0,2022,25
Robert Rochell,CB,0,0%,3,5%,1,4%,1,Rams,2.0,2022,25
Keir Thomas,LB,0,0%,2,3%,7,30%,1,Rams,2.0,2022,25
Matt Gay,K,0,0%,0,0%,11,48%,1,Rams,2.0,2022,25
Riley Dixon,P,0,0%,0,0%,7,30%,1,Rams,2.0,2022,25
Jeremiah Kolone,G,0,0%,0,0%,5,22%,1,Rams,2.0,2022,25
