Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Geno Smith,SEA,2,2,0,3,2.0,2022,26
DeeJay Dallas,SEA,0,0,0,0,2.0,2022,26
Rashaad Penny,SEA,6,15,0,6,2.0,2022,26
Kenneth Walker III,SEA,4,10,0,8,2.0,2022,26
Travis Homer,SEA,2,9,0,5,2.0,2022,26
Tyler Lockett,SEA,0,0,0,0,2.0,2022,26
D.K. Metcalf,SEA,0,0,0,0,2.0,2022,26
Noah Fant,SEA,0,0,0,0,2.0,2022,26
D'Wayne Eskridge,SEA,0,0,0,0,2.0,2022,26
Will Dissly,SEA,0,0,0,0,2.0,2022,26
Marquise Goodwin,SEA,0,0,0,0,2.0,2022,26
Jimmy Garoppolo,SFO,4,5,1,3,2.0,2022,26
Trey Lance,SFO,3,13,0,7,2.0,2022,26
Jeff Wilson,SFO,18,84,0,16,2.0,2022,26
Deebo Samuel,SFO,4,53,0,51,2.0,2022,26
Tyrion Davis-Price,SFO,14,33,0,20,2.0,2022,26
Kyle Juszczyk,SFO,2,1,1,1,2.0,2022,26
Brandon Aiyuk,SFO,0,0,0,0,2.0,2022,26
Ross Dwelley,SFO,0,0,0,0,2.0,2022,26
Ray-Ray McCloud,SFO,0,0,0,0,2.0,2022,26
Jauan Jennings,SFO,0,0,0,0,2.0,2022,26
Danny Gray,SFO,0,0,0,0,2.0,2022,26
