Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Cody Whitehair,G,41,100%,0,0%,2,9%,0,Bears,2.0,2022,30
Sam Mustipher,C,41,100%,0,0%,2,9%,0,Bears,2.0,2022,30
Larry Borom,T,41,100%,0,0%,2,9%,0,Bears,2.0,2022,30
Braxton Jones,T,41,100%,0,0%,2,9%,0,Bears,2.0,2022,30
Justin Fields,QB,41,100%,0,0%,0,0%,0,Bears,2.0,2022,30
Darnell Mooney,WR,37,90%,0,0%,0,0%,0,Bears,2.0,2022,30
Cole Kmet,TE,35,85%,0,0%,2,9%,0,Bears,2.0,2022,30
David Montgomery,RB,33,80%,0,0%,0,0%,0,Bears,2.0,2022,30
Equanimeous St. Brown,WR,29,71%,0,0%,0,0%,0,Bears,2.0,2022,30
Dante Pettis,WR,23,56%,0,0%,2,9%,0,Bears,2.0,2022,30
Lucas Patrick,G,22,54%,0,0%,0,0%,0,Bears,2.0,2022,30
Teven Jenkins,T,19,46%,0,0%,2,9%,0,Bears,2.0,2022,30
Byron Pringle,WR,14,34%,0,0%,6,27%,0,Bears,2.0,2022,30
Khari Blasingame,FB,13,32%,0,0%,12,55%,0,Bears,2.0,2022,30
Ryan Griffin,TE,11,27%,0,0%,9,41%,0,Bears,2.0,2022,30
Khalil Herbert,RB,8,20%,0,0%,13,59%,0,Bears,2.0,2022,30
Trevon Wesco,TE,2,5%,0,0%,0,0%,0,Bears,2.0,2022,30
Eddie Jackson,SS,0,0%,68,100%,5,23%,0,Bears,2.0,2022,30
Jaylon Johnson,CB,0,0%,68,100%,5,23%,0,Bears,2.0,2022,30
Kyler Gordon,DB,0,0%,68,100%,5,23%,0,Bears,2.0,2022,30
Nicholas Morrow,LB,0,0%,68,100%,5,23%,0,Bears,2.0,2022,30
Jaquan Brisker,DB,0,0%,68,100%,0,0%,0,Bears,2.0,2022,30
Roquan Smith,LB,0,0%,68,100%,0,0%,0,Bears,2.0,2022,30
Robert Quinn,LB,0,0%,52,76%,0,0%,0,Bears,2.0,2022,30
Kindle Vildor,CB,0,0%,47,69%,7,32%,0,Bears,2.0,2022,30
Justin Jones,DT,0,0%,42,62%,5,23%,0,Bears,2.0,2022,30
Angelo Blackson,DT,0,0%,40,59%,5,23%,0,Bears,2.0,2022,30
Al-Quadin Muhammad,DE,0,0%,39,57%,5,23%,0,Bears,2.0,2022,30
Armon Watts,NT,0,0%,26,38%,0,0%,0,Bears,2.0,2022,30
Trevis Gipson,LB,0,0%,23,34%,5,23%,0,Bears,2.0,2022,30
Mike Pennel,NT,0,0%,23,34%,0,0%,0,Bears,2.0,2022,30
Matthew Adams,LB,0,0%,21,31%,20,91%,0,Bears,2.0,2022,30
Dominique Robinson,DE,0,0%,21,31%,9,41%,0,Bears,2.0,2022,30
Kingsley Jonathan,DE,0,0%,6,9%,0,0%,0,Bears,2.0,2022,30
DeAndre Houston-Carson,FS,0,0%,0,0%,18,82%,0,Bears,2.0,2022,30
Jaylon Jones,DB,0,0%,0,0%,15,68%,0,Bears,2.0,2022,30
Jack Sanborn,LB,0,0%,0,0%,15,68%,0,Bears,2.0,2022,30
Sterling Weatherford,LB,0,0%,0,0%,15,68%,0,Bears,2.0,2022,30
Josh Blackwell,DB,0,0%,0,0%,13,59%,0,Bears,2.0,2022,30
Trestan Ebner,RB,0,0%,0,0%,8,36%,0,Bears,2.0,2022,30
Dane Cruikshank,SS,0,0%,0,0%,8,36%,0,Bears,2.0,2022,30
Trenton Gill,P,0,0%,0,0%,6,27%,0,Bears,2.0,2022,30
Patrick Scales,LS,0,0%,0,0%,6,27%,0,Bears,2.0,2022,30
Cairo Santos,K,0,0%,0,0%,5,23%,0,Bears,2.0,2022,30
Dieter Eiselen,G,0,0%,0,0%,2,9%,0,Bears,2.0,2022,30
Ihmir Smith-Marsette,WR,0,0%,0,0%,1,5%,0,Bears,2.0,2022,30
