Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Justin Fields,CHI,0,0,0,0,0,2.0,2022,30
David Montgomery,CHI,2,2,14,0,7,2.0,2022,30
Khalil Herbert,CHI,1,1,3,0,3,2.0,2022,30
Equanimeous St. Brown,CHI,4,2,39,0,30,2.0,2022,30
Ryan Griffin,CHI,1,1,18,0,18,2.0,2022,30
Cole Kmet,CHI,1,0,0,0,0,2.0,2022,30
Darnell Mooney,CHI,2,1,-4,0,-4,2.0,2022,30
Aaron Rodgers,GNB,0,0,0,0,0,2.0,2022,30
Aaron Jones,GNB,3,3,38,1,15,2.0,2022,30
AJ Dillon,GNB,3,1,6,0,6,2.0,2022,30
Sammy Watkins,GNB,4,3,93,0,55,2.0,2022,30
Randall Cobb,GNB,3,3,37,0,20,2.0,2022,30
Romeo Doubs,GNB,3,2,27,0,20,2.0,2022,30
Allen Lazard,GNB,3,2,13,1,8,2.0,2022,30
Robert Tonyan,GNB,2,2,11,0,9,2.0,2022,30
Christian Watson,GNB,3,3,9,0,9,2.0,2022,30
Tyler Davis,GNB,1,0,0,0,0,2.0,2022,30
