Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
AJ Terrell,ATL,0,6,5,83.3%,47.0,9.4,7.8,1.0,138.9,7.0,41.0,6.0,0,0,0,0.0,0,9,0,0.0%,2.0,2022,25
Erik Harris,ATL,0,5,5,100.0%,55.0,11.0,11.0,0.0,112.5,4.8,24.0,31.0,1,0,0,0.0,0,6,0,0.0%,2.0,2022,25
Darren Hall,ATL,0,5,4,80.0%,54.0,13.5,10.8,0.0,111.7,7.6,37.0,17.0,0,0,0,0.0,0,5,0,0.0%,2.0,2022,25
Mykal Walker,ATL,1,4,3,75.0%,28.0,9.3,7.0,0.0,54.2,4.3,14.0,14.0,1,0,0,0.0,0,7,1,12.5%,2.0,2022,25
Casey Hayward,ATL,1,5,3,60.0%,25.0,8.3,5.0,1.0,72.9,11.4,24.0,1.0,0,0,0,0.0,0,2,0,0.0%,2.0,2022,25
Jaylinn Hawkins,ATL,0,3,3,100.0%,30.0,10.0,10.0,1.0,147.9,2.7,8.0,22.0,1,0,0,0.0,0,2,1,33.3%,2.0,2022,25
Adetokunbo Ogundeji,ATL,0,1,1,100.0%,8.0,8.0,8.0,0.0,100.0,-1.0,-1.0,9.0,0,0,0,1.0,1,6,0,0.0%,2.0,2022,25
DeAundre Alford,ATL,0,1,1,100.0%,3.0,3.0,3.0,0.0,79.2,3.0,3.0,0.0,1,0,0,0.0,0,2,0,0.0%,2.0,2022,25
Arnold Ebiketie,ATL,0,1,1,100.0%,18.0,18.0,18.0,0.0,118.7,-4.0,-4.0,22.0,0,0,0,0.0,0,4,0,0.0%,2.0,2022,25
Richie Grant,ATL,0,3,1,33.3%,4.0,4.0,1.3,0.0,42.4,9.3,4.0,0.0,0,0,0,0.0,0,6,1,14.3%,2.0,2022,25
Lorenzo Carter,ATL,0,0,0,,,,,,,,,,1,0,0,0.0,0,2,0,0.0%,2.0,2022,25
Dean Marlowe,ATL,0,1,0,0.0%,,,0.0,,39.6,,,,0,0,0,0.0,0,0,0,,2.0,2022,25
Mike Ford,ATL,0,2,0,0.0%,,,0.0,,39.6,18.5,,,0,0,0,0.0,0,2,0,0.0%,2.0,2022,25
Jordan Fuller,LAR,0,4,4,100.0%,37.0,9.3,9.3,0.0,105.2,6.8,27.0,10.0,0,0,0,0.0,0,8,1,11.1%,2.0,2022,25
David Long,LAR,0,5,3,60.0%,34.0,11.3,6.8,0.0,80.4,11.2,32.0,2.0,0,0,0,0.0,0,4,0,0.0%,2.0,2022,25
Cobie Durant,LAR,1,3,2,66.7%,15.0,7.5,5.0,0.0,38.9,0.3,-3.0,18.0,1,0,0,1.0,1,2,0,0.0%,2.0,2022,25
Troy Hill,LAR,0,2,2,100.0%,52.0,26.0,26.0,0.0,118.7,15.0,30.0,22.0,1,0,0,0.0,0,1,0,0.0%,2.0,2022,25
Jalen Ramsey,LAR,1,6,2,33.3%,19.0,9.5,3.2,1.0,43.1,11.5,6.0,13.0,2,0,0,0.0,0,2,0,0.0%,2.0,2022,25
Ernest Jones,LAR,0,2,1,50.0%,18.0,18.0,9.0,0.0,81.2,7.5,12.0,6.0,1,0,0,0.0,0,12,0,0.0%,2.0,2022,25
Taylor Rapp,LAR,0,1,1,100.0%,7.0,7.0,7.0,0.0,95.8,-3.0,-3.0,10.0,0,0,0,0.0,0,3,0,0.0%,2.0,2022,25
Robert Rochell,LAR,0,1,1,100.0%,4.0,4.0,4.0,1.0,122.9,4.0,4.0,0.0,0,0,0,0.0,0,0,0,,2.0,2022,25
Nick Scott,LAR,0,1,1,100.0%,10.0,10.0,10.0,0.0,108.3,9.0,9.0,1.0,0,0,0,0.0,0,3,0,0.0%,2.0,2022,25
Leonard Floyd,LAR,0,0,0,,,,,,,,,,1,0,2,0.0,2,1,0,0.0%,2.0,2022,25
Aaron Donald,LAR,0,0,0,,,,,,,,,,0,1,1,0.0,2,2,0,0.0%,2.0,2022,25
Justin Hollins,LAR,0,0,0,,,,,,,,,,3,0,0,1.0,1,5,0,0.0%,2.0,2022,25
Bobby Wagner,LAR,0,0,0,,,,,,,,,,3,0,0,1.0,1,7,0,0.0%,2.0,2022,25
Darrell Henderson,LAR,0,1,0,0.0%,,,0.0,,39.6,-1.0,,,0,0,0,0.0,0,0,0,,2.0,2022,25
Jeremiah Kolone,LAR,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,,2.0,2022,25
