Player,Pos,home_team,team,week,year,game_id
Geno Smith,QB,0,Seahawks,2.0,2022,26
Rashaad Penny,RB,0,Seahawks,2.0,2022,26
D.K. Metcalf,WR,0,Seahawks,2.0,2022,26
Tyler Lockett,WR,0,Seahawks,2.0,2022,26
Will Dissly,TE,0,Seahawks,2.0,2022,26
Noah Fant,TE,0,Seahawks,2.0,2022,26
Charles Cross,T,0,Seahawks,2.0,2022,26
Abraham Lucas,T,0,Seahawks,2.0,2022,26
Gabe Jackson,G,0,Seahawks,2.0,2022,26
Damien Lewis,G,0,Seahawks,2.0,2022,26
Austin Blythe,G,0,Seahawks,2.0,2022,26
Shelby Harris,DE,0,Seahawks,2.0,2022,26
Poona Ford,DT,0,Seahawks,2.0,2022,26
Al Woods,DT,0,Seahawks,2.0,2022,26
Bryan Mone,DT,0,Seahawks,2.0,2022,26
Darrell Taylor,LB,0,Seahawks,2.0,2022,26
Jordyn Brooks,LB,0,Seahawks,2.0,2022,26
Uchenna Nwosu,LB,0,Seahawks,2.0,2022,26
Michael Jackson,CB,0,Seahawks,2.0,2022,26
Riq Woolen,CB,0,Seahawks,2.0,2022,26
Quandre Diggs,FS,0,Seahawks,2.0,2022,26
Josh Jones,S,0,Seahawks,2.0,2022,26
