Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,3.0,2022,45
1.0,15:00,,,LAR 35,0.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,45
1.0,15:00,1.0,10.0,ARI 25,0.0,0.0,Kyler Murray pass complete short right to Zach Ertz for 6 yards (tackle by Nick Scott),0.61,0.87,3.0,2022,45
1.0,14:28,2.0,4.0,ARI 31,0.0,0.0,James Conner up the middle for 2 yards (tackle by A'Shawn Robinson),0.87,0.43,3.0,2022,45
1.0,13:46,3.0,2.0,ARI 33,0.0,0.0,Kyler Murray pass incomplete short right intended for A.J. Green (defended by Jalen Ramsey),0.43,-1.18,3.0,2022,45
1.0,13:42,4.0,2.0,ARI 33,0.0,0.0,"Andy Lee punts 3 yards, returned by Jake Gervase for 1 yard (tackle by Aaron Brewer and Stephen Anderson)",-1.18,-3.25,3.0,2022,45
1.0,13:34,1.0,10.0,ARI 35,0.0,0.0,"Darrell Henderson up the middle for no gain (tackle by Marco Wilson). Penalty on Joseph Noteboom: Offensive Holding, 10 yards (accepted) (no play)",3.25,2.59,3.0,2022,45
1.0,13:04,1.0,20.0,ARI 45,0.0,0.0,Matthew Stafford pass complete short right to Cooper Kupp for 9 yards (tackle by Jalen Thompson),2.59,2.57,3.0,2022,45
1.0,12:21,2.0,11.0,ARI 36,0.0,0.0,Matthew Stafford pass complete short right to Brandon Powell for 16 yards (tackle by Budda Baker),2.57,4.24,3.0,2022,45
1.0,11:39,1.0,10.0,ARI 20,0.0,0.0,Darrell Henderson up the middle for 6 yards (tackle by Jalen Thompson and Byron Murphy),4.24,4.64,3.0,2022,45
1.0,10:58,2.0,4.0,ARI 14,0.0,0.0,Matthew Stafford pass complete short right to Cooper Kupp for 10 yards (tackle by Budda Baker),4.64,6.28,3.0,2022,45
1.0,10:19,1.0,4.0,ARI 4,0.0,0.0,Matthew Stafford pass complete short middle to Brandon Powell for no gain (tackle by Zaven Collins),6.28,5.34,3.0,2022,45
1.0,9:55,2.0,4.0,ARI 4,0.0,0.0,Matthew Stafford pass incomplete short left intended for Allen Robinson,5.34,4.49,3.0,2022,45
1.0,9:54,3.0,4.0,ARI 4,0.0,0.0,Matthew Stafford pass incomplete short right intended for Allen Robinson,4.49,3.03,3.0,2022,45
1.0,9:49,4.0,4.0,ARI 4,3.0,0.0,Matt Gay 22 yard field goal good,3.03,3.0,3.0,2022,45
1.0,9:45,,,LAR 35,3.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,45
1.0,9:45,1.0,10.0,ARI 25,3.0,0.0,James Conner up the middle for 2 yards (tackle by Bobby Wagner),0.61,0.33,3.0,2022,45
1.0,9:11,2.0,8.0,ARI 27,3.0,0.0,Kyler Murray pass incomplete short right intended for Greg Dortch,0.33,-0.36,3.0,2022,45
1.0,9:09,3.0,8.0,ARI 27,3.0,0.0,Kyler Murray pass incomplete short right,-0.36,-1.57,3.0,2022,45
1.0,9:02,4.0,8.0,ARI 27,3.0,0.0,"Andy Lee punts 53 yards, returned by Brandon Powell for 22 yards (tackle by Aaron Brewer)",-1.57,-1.73,3.0,2022,45
1.0,8:50,1.0,10.0,LAR 42,3.0,0.0,Cam Akers left end for -1 yards (tackle by Ben Niemann),1.73,1.05,3.0,2022,45
1.0,8:23,2.0,11.0,LAR 41,3.0,0.0,Matthew Stafford pass complete short middle to Cooper Kupp for 14 yards (tackle by Budda Baker),1.05,2.59,3.0,2022,45
1.0,7:31,1.0,10.0,ARI 45,3.0,0.0,"Penalty on LAR: Delay of Game, 5 yards (accepted) (no play)",2.59,2.26,3.0,2022,45
1.0,7:11,,,,,,Timeout #1 by Los Angeles Rams,,,3.0,2022,45
1.0,7:11,1.0,15.0,ARI 50,3.0,0.0,Matthew Stafford pass complete short left to Tyler Higbee for 19 yards (tackle by Zaven Collins),2.26,3.51,3.0,2022,45
1.0,6:24,1.0,10.0,ARI 31,3.0,0.0,Cam Akers right end for no gain (tackle by Budda Baker),3.51,2.97,3.0,2022,45
1.0,5:34,2.0,10.0,ARI 31,3.0,0.0,Darrell Henderson up the middle for 7 yards (tackle by Isaiah Simmons and Cameron Thomas),2.97,3.2,3.0,2022,45
1.0,4:54,3.0,3.0,ARI 24,3.0,0.0,Matthew Stafford scrambles up the middle for 4 yards (tackle by Dennis Gardeck),3.2,4.24,3.0,2022,45
1.0,4:06,1.0,10.0,ARI 20,9.0,0.0,"Cooper Kupp left end for 20 yards, touchdown",4.24,7.0,3.0,2022,45
1.0,4:00,,,ARI 15,10.0,0.0,Matt Gay kicks extra point good,0.0,0.0,3.0,2022,45
1.0,4:00,,,LAR 35,10.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,45
1.0,4:00,1.0,10.0,ARI 25,10.0,0.0,Kyler Murray pass complete short left to Marquise Brown for 13 yards (tackle by Derion Kendrick),0.61,1.47,3.0,2022,45
1.0,3:18,1.0,10.0,ARI 38,10.0,0.0,Kyler Murray pass complete short left to James Conner for 4 yards (tackle by Derion Kendrick),1.47,1.46,3.0,2022,45
1.0,2:42,2.0,6.0,ARI 42,10.0,0.0,Kyler Murray sacked by Aaron Donald for -15 yards,1.46,-1.22,3.0,2022,45
1.0,2:17,3.0,21.0,ARI 27,10.0,0.0,Kyler Murray pass complete short middle to Marquise Brown for 14 yards (tackle by Taylor Rapp),-1.22,-0.65,3.0,2022,45
