Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Taylor Moton,T,52,100%,0,0%,2,9%,1,Panthers,4.0,2022,60
Ikem Ekwonu,T,52,100%,0,0%,2,9%,1,Panthers,4.0,2022,60
Austin Corbett,G,52,100%,0,0%,2,9%,1,Panthers,4.0,2022,60
Brady Christensen,T,52,100%,0,0%,2,9%,1,Panthers,4.0,2022,60
Baker Mayfield,QB,52,100%,0,0%,0,0%,1,Panthers,4.0,2022,60
Pat Elflein,C,52,100%,0,0%,0,0%,1,Panthers,4.0,2022,60
Robbie Chosen,WR,50,96%,0,0%,1,4%,1,Panthers,4.0,2022,60
D.J. Moore,WR,50,96%,0,0%,1,4%,1,Panthers,4.0,2022,60
Christian McCaffrey,RB,45,87%,0,0%,0,0%,1,Panthers,4.0,2022,60
Shi Smith,WR,39,75%,0,0%,3,13%,1,Panthers,4.0,2022,60
Giovanni Ricci,TE,24,46%,0,0%,17,74%,1,Panthers,4.0,2022,60
Tommy Tremble,TE,22,42%,0,0%,17,74%,1,Panthers,4.0,2022,60
Ian Thomas,TE,15,29%,0,0%,13,57%,1,Panthers,4.0,2022,60
Laviska Shenault Jr.,WR,4,8%,0,0%,1,4%,1,Panthers,4.0,2022,60
D'Onta Foreman,RB,4,8%,0,0%,0,0%,1,Panthers,4.0,2022,60
Chuba Hubbard,RB,3,6%,0,0%,16,70%,1,Panthers,4.0,2022,60
Rashard Higgins,WR,3,6%,0,0%,0,0%,1,Panthers,4.0,2022,60
Stephen Sullivan,TE,1,2%,0,0%,11,48%,1,Panthers,4.0,2022,60
Xavier Woods,FS,0,0%,76,100%,4,17%,1,Panthers,4.0,2022,60
Jaycee Horn,CB,0,0%,74,97%,4,17%,1,Panthers,4.0,2022,60
Myles Hartsfield,FS,0,0%,72,95%,9,39%,1,Panthers,4.0,2022,60
Frankie Luvu,LB,0,0%,70,92%,3,13%,1,Panthers,4.0,2022,60
Brian Burns,DE,0,0%,68,89%,4,17%,1,Panthers,4.0,2022,60
Shaq Thompson,LB,0,0%,62,82%,4,17%,1,Panthers,4.0,2022,60
Matthew Ioannidis,DT,0,0%,60,79%,0,0%,1,Panthers,4.0,2022,60
Donte Jackson,CB,0,0%,59,78%,0,0%,1,Panthers,4.0,2022,60
Derrick Brown,DT,0,0%,57,75%,4,17%,1,Panthers,4.0,2022,60
Yetur Gross-Matos,DE,0,0%,53,70%,4,17%,1,Panthers,4.0,2022,60
Sean Chandler,SS,0,0%,33,43%,17,74%,1,Panthers,4.0,2022,60
C.J. Henderson,CB,0,0%,32,42%,3,13%,1,Panthers,4.0,2022,60
Cory Littleton,LB,0,0%,30,39%,21,91%,1,Panthers,4.0,2022,60
Marquis Haynes,DE,0,0%,23,30%,0,0%,1,Panthers,4.0,2022,60
Damien Wilson,LB,0,0%,17,22%,10,43%,1,Panthers,4.0,2022,60
Henry Anderson,DE,0,0%,16,21%,4,17%,1,Panthers,4.0,2022,60
Marquan McCall,NT,0,0%,15,20%,4,17%,1,Panthers,4.0,2022,60
Daviyon Nixon,DT,0,0%,13,17%,0,0%,1,Panthers,4.0,2022,60
Jeremy Chinn,FS,0,0%,6,8%,0,0%,1,Panthers,4.0,2022,60
Sam Franklin,SS,0,0%,0,0%,17,74%,1,Panthers,4.0,2022,60
Marquise Blair,FS,0,0%,0,0%,14,61%,1,Panthers,4.0,2022,60
Brandon Smith,LB,0,0%,0,0%,11,48%,1,Panthers,4.0,2022,60
J.J. Jansen,LS,0,0%,0,0%,7,30%,1,Panthers,4.0,2022,60
Johnny Hekker,P,0,0%,0,0%,7,30%,1,Panthers,4.0,2022,60
Eddy Piñeiro,K,0,0%,0,0%,5,22%,1,Panthers,4.0,2022,60
Keith Taylor,CB,0,0%,0,0%,5,22%,1,Panthers,4.0,2022,60
Bradley Bozeman,C,0,0%,0,0%,2,9%,1,Panthers,4.0,2022,60
Michael Jordan,G,0,0%,0,0%,2,9%,1,Panthers,4.0,2022,60
