Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Jack Jones,NWE,1,8,5,62.5%,60.0,12.0,7.5,0.0,45.8,11.6,21.0,39.0,0,0,0,0.0,0,7,1,12.5%,4.0,2022,62
Myles Bryant,NWE,0,6,4,66.7%,48.0,12.0,8.0,0.0,91.0,15.8,33.0,15.0,0,0,0,0.0,0,4,1,20.0%,4.0,2022,62
Jonathan Jones,NWE,0,7,4,57.1%,78.0,19.5,11.1,1.0,135.7,17.9,46.0,32.0,1,0,0,0.0,0,5,0,0.0%,4.0,2022,62
Adrian Phillips,NWE,0,2,2,100.0%,20.0,10.0,10.0,0.0,108.3,7.0,14.0,6.0,1,0,1,0.0,1,8,0,0.0%,4.0,2022,62
Ja'Whaun Bentley,NWE,0,2,2,100.0%,12.0,6.0,6.0,0.0,91.7,-4.5,-9.0,21.0,2,0,0,0.0,0,10,0,0.0%,4.0,2022,62
Jahlani Tavai,NWE,0,2,1,50.0%,0.0,0.0,0.0,0.0,56.2,-6.0,-5.0,5.0,1,0,0,0.0,0,8,0,0.0%,4.0,2022,62
Jabrill Peppers,NWE,0,2,1,50.0%,2.0,2.0,1.0,0.0,56.2,-2.5,-2.0,4.0,0,0,0,0.0,0,2,0,0.0%,4.0,2022,62
Devin McCourty,NWE,0,1,1,100.0%,20.0,20.0,20.0,1.0,158.3,20.0,20.0,0.0,0,0,0,0.0,0,6,1,14.3%,4.0,2022,62
Kyle Dugger,NWE,0,1,1,100.0%,11.0,11.0,11.0,0.0,112.5,5.0,5.0,6.0,0,0,0,0.0,0,3,0,0.0%,4.0,2022,62
Matt Judon,NWE,0,1,0,0.0%,,,0.0,,39.6,-2.0,,,0,1,0,1.0,2,6,0,0.0%,4.0,2022,62
Christian Barmore,NWE,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,0,0.0%,4.0,2022,62
Anfernee Jennings,NWE,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,1,50.0%,4.0,2022,62
Mack Wilson,NWE,0,1,0,0.0%,,,0.0,,39.6,0.0,,,1,0,0,0.0,0,2,0,0.0%,4.0,2022,62
Joshua Uche,NWE,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%,4.0,2022,62
Carl Davis,NWE,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%,4.0,2022,62
De'Vondre Campbell,GNB,0,5,5,100.0%,30.0,6.0,6.0,0.0,91.7,3.4,17.0,13.0,1,0,0,0.0,0,7,0,0.0%,4.0,2022,62
Eric Stokes,GNB,0,4,3,75.0%,44.0,14.7,11.0,0.0,110.4,10.8,30.0,14.0,0,0,0,0.0,0,5,0,0.0%,4.0,2022,62
Rasul Douglas,GNB,0,3,2,66.7%,26.0,13.0,8.7,0.0,93.7,10.3,18.0,8.0,0,0,0,0.0,0,4,0,0.0%,4.0,2022,62
Adrian Amos,GNB,0,2,2,100.0%,4.0,2.0,2.0,0.0,79.2,-0.5,-1.0,5.0,1,0,0,0.0,0,2,0,0.0%,4.0,2022,62
Keisean Nixon,GNB,0,2,1,50.0%,9.0,9.0,4.5,0.0,62.5,5.5,-2.0,11.0,0,0,0,0.0,0,0,0,,4.0,2022,62
Darnell Savage Jr.,GNB,0,2,1,50.0%,-2.0,-2.0,-1.0,0.0,56.2,1.5,-2.0,0.0,1,0,0,0.0,0,4,1,20.0%,4.0,2022,62
Rudy Ford,GNB,0,3,1,33.3%,25.0,25.0,8.3,1.0,104.2,8.3,15.0,10.0,0,0,0,0.0,0,7,0,0.0%,4.0,2022,62
Rashan Gary,GNB,0,0,0,,,,,,,,,,2,1,0,2.0,3,7,0,0.0%,4.0,2022,62
Dean Lowry,GNB,0,0,0,,,,,,,,,,0,0,0,0.5,1,5,0,0.0%,4.0,2022,62
Jarran Reed,GNB,0,0,0,,,,,,,,,,0,0,0,1.0,1,8,0,0.0%,4.0,2022,62
Preston Smith,GNB,0,0,0,,,,,,,,,,2,0,0,0.5,1,3,1,25.0%,4.0,2022,62
Jonathan Garvin,GNB,0,0,0,,,,,,,,,,2,0,1,0.0,1,0,0,,4.0,2022,62
Kingsley Enagbare,GNB,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,,4.0,2022,62
Quay Walker,GNB,0,0,0,,,,,,,,,,7,0,0,0.0,0,7,0,0.0%,4.0,2022,62
