Player,Pos,home_team,team,week,year,game_id
Ryan Tannehill,QB,0,Titans,4.0,2022,54
Derrick Henry,RB,0,Titans,4.0,2022,54
Tory Carter,FB,0,Titans,4.0,2022,54
Treylon Burks,WR,0,Titans,4.0,2022,54
Geoff Swaim,TE,0,Titans,4.0,2022,54
Chigoziem Okonkwo,TE,0,Titans,4.0,2022,54
Nicholas Petit-Frere,OL,0,Titans,4.0,2022,54
Dennis Daley,OL,0,Titans,4.0,2022,54
Aaron Brewer,G,0,Titans,4.0,2022,54
Nate Davis,G,0,Titans,4.0,2022,54
Ben Jones,C,0,Titans,4.0,2022,54
Denico Autry,DL,0,Titans,4.0,2022,54
Jeffery Simmons,DT,0,Titans,4.0,2022,54
Teair Tart,DT,0,Titans,4.0,2022,54
Bud Dupree,OLB,0,Titans,4.0,2022,54
David Long,LB,0,Titans,4.0,2022,54
Dylan Cole,LB,0,Titans,4.0,2022,54
Kristian Fulton,CB,0,Titans,4.0,2022,54
Roger McCreary,CB,0,Titans,4.0,2022,54
Terrance Mitchell,DB,0,Titans,4.0,2022,54
Andrew Adams,DB,0,Titans,4.0,2022,54
Kevin Byard,S,0,Titans,4.0,2022,54
