Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Corey Davis,NYJ,6,5,74,1,5.0,58,11.6,16,3.2,13.3,0,,0,0.0,0,157.6,4.0,2022,59
Tyler Conklin,NYJ,5,3,52,0,3.0,28,9.3,24,8.0,8.0,0,,1,20.0,1,55.8,4.0,2022,59
Elijah Moore,NYJ,4,3,53,0,2.0,38,12.7,15,5.0,13.5,0,,0,0.0,0,116.7,4.0,2022,59
Michael Carter,NYJ,3,2,14,0,,4,2.0,10,5.0,1.7,0,,0,0.0,0,77.1,4.0,2022,59
Breece Hall,NYJ,6,2,12,0,0.0,8,4.0,4,2.0,7.8,0,,2,33.3,0,42.4,4.0,2022,59
Garrett Wilson,NYJ,6,2,41,0,1.0,21,10.5,20,10.0,7.5,0,,2,33.3,0,58.3,4.0,2022,59
Braxton Berrios,NYJ,1,1,6,0,0.0,-2,-2.0,8,8.0,-2.0,0,,0,0.0,0,91.7,4.0,2022,59
Zach Wilson,NYJ,1,1,2,1,1.0,2,2.0,0,0.0,2.0,0,,0,0.0,0,118.7,4.0,2022,59
Jeff Smith,NYJ,1,0,0,0,,0,,0,,25.0,0,,0,0.0,1,0.0,4.0,2022,59
Pat Freiermuth,PIT,9,7,85,0,6.0,61,8.7,24,3.4,8.1,0,,1,11.1,1,66.4,4.0,2022,59
George Pickens,PIT,8,6,102,0,4.0,77,12.8,25,4.2,19.5,1,6.0,0,0.0,0,116.7,4.0,2022,59
Diontae Johnson,PIT,4,2,11,0,1.0,-1,-0.5,12,6.0,9.8,0,,1,25.0,1,16.7,4.0,2022,59
Zach Gentry,PIT,1,1,2,0,,-2,-2.0,4,4.0,-2.0,0,,0,0.0,0,79.2,4.0,2022,59
Jaylen Warren,PIT,1,1,4,0,0.0,4,4.0,0,0.0,4.0,0,,0,0.0,0,83.3,4.0,2022,59
Chase Claypool,PIT,2,0,0,0,,0,,0,,29.0,0,,1,50.0,1,0.0,4.0,2022,59
